"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Maximum elevation in meters","Minimum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality"
"7f008605-1b7e-4ff1-ba58-6878b8c029e3","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC3759","4988567","Harpalus funerarius Csiki, 1932","","Harpalus funerarius Csiki, 1932","species","","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus funerarius","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1979","05","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"7ef31864-0a26-4066-b550-7a7d2679f690","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC2743","1052205","Serica atracapilla (Kirby, 1837)","","Serica atracapilla (Kirby, 1837)","species","","Animalia","Arthropoda","Insecta","Coleoptera","Melolonthidae","Serica","Serica atracapilla","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1977","05","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"7ebb324a-025b-4ddd-984f-013247abbea4","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC4158","6264548","Callidium frigidum Casey, 1912","","Callidium frigidum Casey, 1912","species","","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Callidium","Callidium frigidum","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1978","05","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"7dcfdb1f-7be8-473e-af25-38ffd86f29e0","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC1372","2079259","Elasmucha lateralis (Say, 1831)","","Elasmucha lateralis (Say, 1831)","species","","Animalia","Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Elasmucha","Elasmucha lateralis","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1981","05","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"bed1622b-5116-443a-bd2c-c8d241038e1d","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC27737","1470","Coleoptera  Linnaeus, 1758","","Coleoptera","order","beetle","Animalia","Arthropoda","Insecta","Coleoptera","","","","Espace pour la vie","IMQC","Sainte-Sinédine","","","WGS84","","","","","Québec","","","","","1","1979","07","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"becf3b4a-84f3-40a7-a76a-59fe20f1e086","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC3221","1036048","Bembidion incrematum LeConte, 1860","","Bembidion incrematum LeConte, 1860","species","","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion incrematum","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1968","07","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"bea0730a-598d-4fd7-91a7-d65e5b25c5a1","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC3928","5602","Cerambycidae","","Cerambycidae","family","longhorned beetle","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","","","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1978","07","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"be7eb431-53df-4381-8ca0-95bcbfdbd639","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC2434","4988453","Agonum canadense Goulet, 1969","","Agonum canadense Goulet, 1969","species","","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum","Agonum canadense","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1976","07","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"be605b0a-ec2d-4828-924e-97fa145d88b0","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC81660","4990191","Coccinella septempunctata Linnaeus, 1758","Coccinelle à sept points","Coccinella septempunctata Linnaeus, 1758","species","sevenspotted lady beetle","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1981","07","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
"be32da99-e633-4bc3-9de9-57b336f532d4","dr88","Insectarium de Montréal","in22","Espace Pour La Vie","co79","Insectarium de Montréal","CC-BY-NC","IMQC3358","7860073","Omophron tessellatum Say, 1823","","Omophron tessellatum Say, 1823","species","","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Omophron","Omophron tessellatum","Espace pour la vie","IMQC","","","","","","","","","Québec","","","","","1","1976","07","PreservedSpecimen","PreservedSpecimen","present","Indéterminé","true",""
