taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,Column1,_1,_2,_3
7923833,Blidingia marginata (J.Agardh) P.J.L.Dang.,7923833,Blidingia marginata (J.Agardh) P.J.L.Dang.,1,ACCEPTED,Plantae,6,Chlorophyta,36,Ulvophyceae,195,Ulvales,641,Kornmanniaceae,9012,Blidingia,2645648,Blidingia marginata,7923833,,,,,,
8115006,Carex flava var. lepidocarpa (Tausch) Godr.,2725388,Carex lepidocarpa Tausch,2,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex lepidocarpa,2725388,,,,,,
8138545,Poa alpina var. frigida (Gaudich.) Salisb.,2704234,Poa alpina L.,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Poa,2704173,Poa alpina,2704234,,,,,,
8179511,Deschampsia cespitosa var. glauca (Hartm.) Lindm.,7226886,Deschampsia cespitosa subsp. cespitosa,33,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Deschampsia,2703131,Deschampsia cespitosa,8059811,,,,,,
8309894,Calamintha clinopodium Spenn.,7306840,Clinopodium vulgare subsp. vulgare,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Clinopodium,2926907,Clinopodium vulgare,2926945,,,,,,
1341,Orthotrichales,1341,Orthotrichales,5,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Orthotrichales,1341,,,,,,,,,,,,
2676998,Bryum gemmiparum De Notaris,1866,2676998,Bryum gemmiparum De Notaris,3,SPECIES,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Bryales,1333,Bryaceae,8736,Bryum,2676502,,,2676998,NE,,
2683078,Polytrichum hyperboreum R.Brown,1823,2683078,Polytrichum hyperboreum R.Brown,30,SPECIES,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Polytrichales,620,Polytrichaceae,4669,Polytrichum,2683053,2676998,,2683078,NE,,
2688432,Lycopodium obscurum var. dendroideum (Michx.) D.C.Eaton,3991500,Dendrolycopodium dendroideum (Michx.) A.Haines,19,SYNONYM,Plantae,6,Tracheophyta,7707728,Lycopodiopsida,245,Lycopodiales,421,Lycopodiaceae,6725,Dendrolycopodium,9760652,Dendrolycopodium dendroideum,3991500,2683078,,,,,
2703179,Deschampsia flexuosa (L.) Trin.,4149465,Avenella flexuosa (L.) Drejer,371,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Avenella,3232716,Avenella flexuosa,4149465,,,,,,
2724710,Carex triceps Michx.,2724701,Carex hirsutella Mack.,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex hirsutella,2724701,,,,,,
2725998,Carex amphibola var. turgida Fernald,2725995,Carex grisea Wahlenb.,4,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex grisea,2725995,,,,,,
2727900,Carex tribuloides var. reducta L.H.Bailey,7227156,Carex tribuloides var. tribuloides,11,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex tribuloides,2727891,,,,,,
3014641,Crataegus disperma Ashe,3014641,Crataegus disperma Ashe,2,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Crataegus,3013395,Crataegus disperma,3014641,,,,,,
3121436,Artemisia frigida Willd.,3121436,Artemisia frigida Willd.,7,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Artemisia,3120641,Artemisia frigida,3121436,,,,,,
3190633,Rhus toxicodendron L.,7221288,Toxicodendron radicans subsp. radicans,5,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Sapindales,933,Anacardiaceae,2398,Toxicodendron,8686559,Toxicodendron radicans,3190628,,,,,,
3922048,Anemonoides blanda (Schott & Kotschy) Holub,3033242,Anemone blanda Schott & Kotschy,2,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ranunculales,399,Ranunculaceae,2410,Anemone,3016227,Anemone blanda,3033242,,,,,,
4156211,Plantago maritima var. juncoides (Lam.) A.Gray,6405821,Plantago maritima subsp. juncoides (Lam.) Hultén,6,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Plantago,3189695,Plantago maritima,3189755,,,,,,
5359067,Trifolium pannonicum Jacq.,5359067,Trifolium pannonicum Jacq.,1,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Trifolium,2973363,Trifolium pannonicum,5359067,,,,,,
5370380,Dasiphora fruticosa (L.) Rydb.,5370380,Dasiphora fruticosa (L.) Rydb.,525,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Dasiphora,3029309,Dasiphora fruticosa,5370380,,,,,,
5710987,Timmia norvegica var. excurrens Bryhn,5710988,Timmia comata Lindb. & Arnell,1,SYNONYM,Plantae,6,Bryophyta,35,Bryopsida,327,Bryales,1333,Timmiaceae,4631,Timmia,2676443,Timmia comata,5710988,,,,,,
6391790,Rumex occidentalis (Michx.) S.Watson,6391790,Rumex occidentalis (Michx.) S.Watson,73,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Polygonaceae,2416,Rumex,2888942,Rumex occidentalis,6391790,,,,,,
7222032,Viburnum dentatum var. dentatum,2888594,Viburnum dentatum L.,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Dipsacales,946,Viburnaceae,4924416,Viburnum,2888580,Viburnum dentatum,2888594,,,,,,
7650844,Malus baccata (L.) Moench,7650844,Malus baccata (L.) Moench,11,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Malus,3001068,Malus baccata,7650844,,,,,,
7740925,Equisetum ×trachyodon (A.Braun) Koch,7740925,Equisetum ×trachyodon (A.Braun) Koch,3,ACCEPTED,Plantae,6,Tracheophyta,7707728,Polypodiopsida,7228684,Equisetales,954,Equisetaceae,3105,Equisetum,2687913,Equisetum trachyodon,7740925,,,,,,
7868653,Poa pratensis var. angustifolia (Linnaeus) Lejeune,4128839,Poa angustifolia L.,4,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Poa,2704173,Poa angustifolia,4128839,,,,,,
7873039,Polygonum hydropiperoides var. hydropiperoides,2889340,Persicaria hydropiperoides (Michx.) Small,3,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Polygonaceae,2416,Persicaria,6390748,Persicaria hydropiperoides,2889340,,,,,,
8283136,Schistidium lancifolium (Kindb.) H.H.Blom,8283136,Schistidium lancifolium (Kindb.) H.H.Blom,3,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Grimmiales,1337,Grimmiaceae,8747,Schistidium,7795248,Schistidium lancifolium,8283136,,,,,,
8664648,Panicum philadelphicum Bernh.,8412627,Panicum philadelphicum Bernh. ex Nees,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Panicum,2705064,Panicum philadelphicum,8412627,,,,,,
10974210,Polygonum fowleri B.L.Rob.,10974210,Polygonum fowleri B.L.Rob.,36,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Polygonaceae,2416,Polygonum,2889077,Polygonum fowleri,10974210,,,,,,
2645410,Monostroma groenlandicum J.Agardh,6452194,Pseudothrix groenlandica (J.Agardh) Hanic & S.C.Lindstrom,1,SYNONYM,Plantae,6,Chlorophyta,36,Ulvophyceae,195,Ulotrichales,1356,Ulotrichaceae,4857,Pseudothrix,4641083,Pseudothrix groenlandica,6452194,,,,,,
2650254,Osmunda L.,2650254,Osmunda L.,2,ACCEPTED,Plantae,6,Tracheophyta,7707728,Polypodiopsida,7228684,Osmundales,7229403,Osmundaceae,2370,Osmunda,2650254,,,,,,,,
2667047,Neodilsea integra (Kjellman) A.D.Zinova,2667047,Neodilsea integra (Kjellman) A.D.Zinova,3,ACCEPTED,Plantae,6,Rhodophyta,106,Florideophyceae,342,Gigartinales,1400,Dumontiaceae,9001,Neodilsea,2666977,Neodilsea integra,2667047,,,,,,
2689507,Mylia taylorii (Hook.) Gray,2689507,Mylia taylorii (Hook.) Gray,97,ACCEPTED,Plantae,6,Marchantiophyta,9,Jungermanniopsida,126,Jungermanniales,381,Myliaceae,6132,Mylia,3229868,Mylia taylorii,2689507,,,,,,
2726082,Carex praticola Rydb.,2726082,Carex praticola Rydb.,17,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex praticola,2726082,,,,,,
2888458,Papaver croceum Ledeb.,7096656,Papaver nudicaule subsp. nudicaule,4,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ranunculales,399,Papaveraceae,2422,Papaver,2888431,Papaver nudicaule,8144599,,,,,,
2927744,Phlox paniculata L.,2927744,Phlox paniculata L.,98,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Polemoniaceae,6648,Phlox,2927698,Phlox paniculata,2927744,,,,,,
3123761,Nabalus Cass.,3123761,Nabalus Cass.,72,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Nabalus,3123761,,,,,,,,
3171989,Euphrasia williamsii B.L.Rob.,9717417,Euphrasia oakesii var. williamsii (B.L.Rob.) G.L.Gusarova,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Orobanchaceae,6651,Euphrasia,3171955,Euphrasia oakesii,3171988,,,,,,
4273785,Erigeron acris var. kamtschaticus (DC.) Herder,1865,4273785,Erigeron acris var. kamtschaticus (DC.) Herder,11,VARIETY,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Erigeron,3146588,,,3147080,,,
5301135,Potamogeton vaginatus Turcz.,2756555,Stuckenia vaginata (Magnin) Holub,4,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Alismatales,551,Potamogetonaceae,6721,Stuckenia,2756544,Stuckenia vaginata,2756555,3147080,,,,,
5362100,Grossularia cynosbati (L.) Mill.,2986152,Ribes cynosbati L.,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Saxifragales,7219248,Grossulariaceae,2403,Ribes,2986095,Ribes cynosbati,2986152,,,,,,
5369786,Geum macrophyllum var. macrophyllum,5369786,Geum macrophyllum var. macrophyllum,23,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Geum,3024294,Geum macrophyllum,5369784,,,,,,
5376835,Lepidium apetalum Willd.,5376835,Lepidium apetalum Willd.,1,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Brassicaceae,3112,Lepidium,3051713,Lepidium apetalum,5376835,,,,,,
5385578,Antennaria arenicola Malte,5385561,Antennaria alpina (L.) Gaertn.,2,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Antennaria,3087998,Antennaria alpina,5385561,,,,,,
5388960,Solidago bicolor L.,5388960,Solidago bicolor L.,34,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Solidago,5388868,Solidago bicolor,5388960,,,,,,
6364441,Viscaria alpina (L.) G.Don,5588268,Silene suecica (Lodd.) Greuter & Burdet,30,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Silene,3085897,Silene suecica,5588268,,,,,,
7510173,Mentha longifolia (L.) L.,7510173,Mentha longifolia (L.) L.,1,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Mentha,2927173,Mentha longifolia,7510173,,,,,,
7534405,Grimmia apocarpa Hedw.,5281668,Schistidium apocarpum Bruch & W.P.Schimper,1845,SPECIES,SYNONYM,Plantae,6,Bryophyta,35,Bryopsida,327,Grimmiales,1337,Grimmiaceae,8747,Schistidium,7795248,Schistidium apocarpum,,,NE,,,
7955925,Thelypteris palustris subsp. pubescens (G.Lawson) Fraser-Jenk.,7955925,Thelypteris palustris subsp. pubescens (G.Lawson) Fraser-Jenk.,23,ACCEPTED,Plantae,6,Tracheophyta,7707728,Polypodiopsida,7228684,Polypodiales,392,Thelypteridaceae,6618,Thelypteris,5937466,Thelypteris palustris,5275316,NE,,,,,
9048478,Coptis trifolia subsp. groenlandica (Oeder) Hultén,6449715,Coptis trifolia subsp. trifolia,6,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ranunculales,399,Ranunculaceae,2410,Coptis,3033631,Coptis trifolia,3033632,,,,,,
2669235,Sphagnum flexuosum Dozy & Molkenboer,1851,2669235,Sphagnum flexuosum Dozy & Molkenboer,52,SPECIES,ACCEPTED,Plantae,6,Bryophyta,35,Sphagnopsida,190,Sphagnales,623,Sphagnaceae,4673,Sphagnum,2668958,,,2669235,NE,,
2670399,Encalypta Hedw.,2670399,Encalypta Hedw.,5,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Pottiales,621,Encalyptaceae,8770,Encalypta,2670399,,,2669235,,,,,
2684760,Juniperus communis subsp. nana (Willd.) Syme,2684743,Juniperus communis var. saxatilis Pall.,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Cupressaceae,8144,Juniperus,2684359,Juniperus communis,2684709,,,,,,
2689149,Cephalozia macrostachya Kaal.,9488733,Fuscocephaloziopsis macrostachya (Kaal.) Váňa & L.Söderstr.,2,SYNONYM,Plantae,6,Marchantiophyta,9,Jungermanniopsida,126,Jungermanniales,381,Cephaloziaceae,2288,Fuscocephaloziopsis,2689160,Fuscocephaloziopsis macrostachya,9488733,,,,,,
2689240,Liochlaena lanceolata Nees,2689240,Liochlaena lanceolata Nees,2,ACCEPTED,Plantae,6,Marchantiophyta,9,Jungermanniopsida,126,Jungermanniales,381,Jungermanniaceae,6136,Liochlaena,2689238,Liochlaena lanceolata,2689240,,,,,,
2710326,Carex myosuroides Vill.,2710326,Carex myosuroides Vill.,4,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex myosuroides,2710326,,,,,,
2710641,Scirpus rufus var. neogaeus Fernald,2710633,Blysmus rufus (Huds.) Link,15,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Blysmus,2710632,Blysmus rufus,2710633,,,,,,
2717462,Eleocharis flavescens var. olivacea (Torr.) Gleason,2717462,Eleocharis flavescens var. olivacea (Torr.) Gleason,17,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Eleocharis,2716791,Eleocharis flavescens,2717421,,,,,,
2724284,Carex buxbaumii Wahlenb.,2724284,Carex buxbaumii Wahlenb.,107,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex buxbaumii,2724284,,,,,,
2725227,Carex ×limosoides J.Cay.,10702964,Carex ×notholimosioides Doweld,21,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex notholimosioides,10702964,,,,,,
3039194,Parthenocissus quinquefolia (L.) Planch.,3039194,Parthenocissus quinquefolia (L.) Planch.,1049,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Vitales,7222050,Vitaceae,6672,Parthenocissus,3039188,Parthenocissus quinquefolia,3039194,,,,,,
3151407,Symphyotrichum ontarionis (Wiegand) G.L.Nesom,3151407,Symphyotrichum ontarionis (Wiegand) G.L.Nesom,14,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Symphyotrichum,3151391,Symphyotrichum ontarionis,3151407,,,,,,
3731121,Lindernia dubia var. inundata (Pennell) Pennell,3171888,Lindernia dubia (L.) Pennell,10,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Linderniaceae,4160847,Lindernia,3171875,Lindernia dubia,3171888,,,,,,
5274951,Polypodium vulgare L.,5274951,Polypodium vulgare L.,4,ACCEPTED,Plantae,6,Tracheophyta,7707728,Polypodiopsida,7228684,Polypodiales,392,Polypodiaceae,2368,Polypodium,2650111,Polypodium vulgare,5274951,,,,,,
5282165,Arctoa fulvella Bruch & W.P.Schimper,1846,5282165,Arctoa fulvella Bruch & W.P.Schimper,5,SPECIES,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Dicranales,1335,Dicranaceae,4635,Arctoa,2675054,,,5282165,NE,,
5286318,Porella pinnata L.,5286318,Porella pinnata L.,18,ACCEPTED,Plantae,6,Marchantiophyta,9,Jungermanniopsida,126,Porellales,377,Porellaceae,2267,Porella,2688728,Porella pinnata,5286318,5282165,,,,,
5372934,Salix matsudana Koidz.,5372934,Salix matsudana Koidz.,4,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Salicaceae,6664,Salix,3039576,Salix matsudana,5372934,,,,,,
5414200,Myrica peregrina (L.) Kuntze,5414197,Comptonia peregrina (L.) Coult.,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fagales,1354,Myricaceae,2432,Comptonia,8464883,Comptonia peregrina,5414197,,,,,,
5651681,Polygonum cilinode var. erectum Peck,5652290,Fallopia cilinode (Michx.) Holub,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Polygonaceae,2416,Fallopia,2889418,Fallopia cilinode,5652290,,,,,,
6068905,Aristida basiramea var. basiramea,2706256,Aristida basiramea Vasey,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Aristida,2706249,Aristida basiramea,2706256,,,,,,
6300538,Petasites frigidus var. palmatus (Aiton) Cronquist,6300538,Petasites frigidus var. palmatus (Aiton) Cronquist,38,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Petasites,10717129,Petasites frigidus,3088323,,,,,,
6313662,Dichanthelium acuminatum subsp. fasciculatum (Torr.) Freckmann & Lelong,4134282,Dichanthelium lanuginosum (Elliott) Gould,1,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Dichanthelium,2702537,Dichanthelium lanuginosum,4134282,,,,,,
6387999,Empetrum nigrum var. hermaphroditum (Hagerup) T.Sørensen,6387994,Empetrum hermaphroditum Hagerup,5,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Ericaceae,2505,Empetrum,2888367,Empetrum hermaphroditum,6387994,,,,,,
6397230,Viola pallens (Banks ex Ging.) Brainerd,5331303,Viola macloskeyi F.E.Lloyd,267,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Violaceae,6631,Viola,2874237,Viola macloskeyi,5331303,,,,,,
6411098,Lamium galeobdolon subsp. argentatum (Smejkal) J.Duvign.,6411098,Lamium galeobdolon subsp. argentatum (Smejkal) J.Duvign.,181,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Lamium,2926678,Lamium galeobdolon,2927324,,,,,,
6431503,Poa glauca subsp. glauca,6431503,Poa glauca subsp. glauca,11,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Poa,2704173,Poa glauca,2704218,,,,,,
7227147,Carex trisperma var. trisperma,7227147,Carex trisperma var. trisperma,1,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex trisperma,2725572,,,,,,
