taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
10841791,Bryoperdon acuminatum (Bosc) Vizzini,10841791,Bryoperdon acuminatum (Bosc) Vizzini,4,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Bryoperdon,10673740,Bryoperdon acuminatum,10841791,10841791,NE,,,,,,,,,,,,
11074143,Candelariella aurella (Hoffm.) Zahlbr.,3434097,Candelariella aurella f. aurella,26,SYNONYM,Fungi,5,Ascomycota,95,Candelariomycetes,10792796,Candelariales,1269,Candelariaceae,8343,Candelariella,2599884,Candelariella aurella,2599908,2599908,NE,,,,,,,,,,,,
11347191,Lycoperdon pyriforme Pers.,10852503,Apioperdon pyriforme (Schaeff.) Vizzini,3,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Apioperdon,10676978,Apioperdon pyriforme,10852503,10852503,NE,,,,,,,,,,,,
1058,Boliniales,1058,Boliniales,1,ACCEPTED,Fungi,5,Ascomycota,95,Sordariomycetes,320,Boliniales,1058,,,,,,,,,,,,,,,,,,,,
2513079,Doassansia sagittariae (Fuckel) J.C.Fisch.,2513079,Doassansia sagittariae (Fuckel) J.C.Fisch.,1,ACCEPTED,Fungi,5,Basidiomycota,34,Exobasidiomycetes,151,Doassansiales,1136,Doassansiaceae,3268,Doassansia,2513064,Doassansia sagittariae,2513079,2513079,NE,,,,,,,,,,,,
2522864,Pseudotomentella griseopergamacea M.J.Larsen,2522864,Pseudotomentella griseopergamacea M.J.Larsen,1,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Thelephorales,530,Thelephoraceae,3277,Pseudotomentella,2522833,Pseudotomentella griseopergamacea,2522864,2522864,NE,,,,,,,,,,,,
2527712,Scytinotus ringens (Fr.) P.Karst.,2527711,Panellus ringens (Fr.) Romagn.,1,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Mycenaceae,4180,Panellus,2526673,Panellus ringens,2527711,2527711,NE,,,,,,,,,,,,
2528448,Pholiota muricata (Fr.) P.Kumm.,9034342,Flammulaster muricatus (Fr.) Watling,2,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Inocybaceae,4177,Flammulaster,2528438,Flammulaster muricatus,9034342,9034342,NE,,,,,,,,,,,,
2530653,Hypsizygus marmoreus (Peck) H.E.Bigelow,2530653,Hypsizygus marmoreus (Peck) H.E.Bigelow,7,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Lyophyllaceae,4178,Hypsizygus,2530640,Hypsizygus marmoreus,2530653,2530653,NE,,,,,,,,,,,,
2532931,Granulobasidium vellereum (Ellis & Cragin) Jülich,2532931,Granulobasidium vellereum (Ellis & Cragin) Jülich,1,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Cyphellaceae,4173,Granulobasidium,9503212,Granulobasidium vellereum,2532931,2532931,NE,,,,,,,,,,,,
2538000,Pleurocybella porrigens (Pers.) Singer,2538000,Pleurocybella porrigens (Pers.) Singer,46,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Marasmiaceae,4179,Pleurocybella,2530482,Pleurocybella porrigens,2538000,2538000,NE,,,,,,,,,,,,
2549299,Wolfiporia extensa (Peck) Ginns,2549299,Wolfiporia extensa (Peck) Ginns,1,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Wolfiporia,2549292,Wolfiporia extensa,2549299,2549299,NE,,,,,,,,,,,,
2552351,Vesiculomyces citrinus (Pers.) E.Hagstr.,2552364,Gloiothele citrina (Pers.) Ginns & G.W.Freeman,11,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Peniophoraceae,7610,Gloiothele,2552376,Gloiothele citrina,2552364,2552364,NE,,,,,,,,,,,,
2552805,Gloeocystidium karstenii Bourdot & Galzin,2552804,Conferticium karstenii (Bourdot & Galzin) Hallenb.,3,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Stereaceae,3279,Conferticium,2552803,Conferticium karstenii,2552804,2552804,NE,,,,,,,,,,,,
2555245,Tulasnella J.Schröt.,2555245,Tulasnella J.Schröt.,37,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Cantharellales,1300,Tulasnellaceae,4198,Tulasnella,2555245,,,,,,,,,,,,,,,,
2594772,Helvella lacunosa var. sulcata (Afzel.) S.Imai,2594765,Helvella lacunosa Afzel.,3,SYNONYM,Fungi,5,Ascomycota,95,Pezizomycetes,316,Pezizales,1057,Helvellaceae,7006,Helvella,2521377,Helvella lacunosa,2594765,2594765,,,,,,,,,,,,,
2600317,Aspicilia laevata (Ach.) Arnold,2600317,Aspicilia laevata (Ach.) Arnold,16,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Pertusariales,1051,Megasporaceae,4116,Aspicilia,2599747,Aspicilia laevata,2600317,2600317,NE,,,,,,,,,,,,
2609406,Physconia perisidiosa (Erichsen) Moberg,2609406,Physconia perisidiosa (Erichsen) Moberg,28,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Caliciales,10861608,Physciaceae,8369,Physconia,2609402,Physconia perisidiosa,2609406,2609406,NE,,,,,,,,,,,,
3298268,Fuscoboletinus spectabilis (Peck) Pomerl. & A.H.Sm.,6124419,Boletinus spectabilis (Peck) Murrill,3,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Suillaceae,8455,Boletinus,7240402,Boletinus spectabilis,6124419,6124419,NE,,,,,,,,,,,,
3325388,Collybia cremoracea Peck,3325388,Collybia cremoracea Peck,3,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Tricholomataceae,8787,Collybia,2527585,Collybia cremoracea,3325388,3325388,NE,,,,,,,,,,,,
3379445,Puccinia claytoniata (Schwein.) P.Syd. & Syd.,3379445,Puccinia claytoniata (Schwein.) P.Syd. & Syd.,2,ACCEPTED,Fungi,5,Basidiomycota,34,Pucciniomycetes,270,Pucciniales,1126,Pucciniaceae,3251,Puccinia,9533895,Puccinia claytoniata,3379445,3379445,NE,,,,,,,,,,,,
3466888,Anisomeridium nyssaegenum (Ellis & Everh.) R.C.Harris,3466883,Anisomeridium polypori (Ellis & Everh.) M.E.Barr,1,SYNONYM,Fungi,5,Ascomycota,95,Dothideomycetes,183,Monoblastiales,10896007,Monoblastiaceae,4843,Anisomeridium,2598818,Anisomeridium polypori,3466883,3466883,NE,,,,,,,,,,,,
3496233,Tarzetta bronca (Peck) Korf & J.K.Rogers,3496233,Tarzetta bronca (Peck) Korf & J.K.Rogers,3,ACCEPTED,Fungi,5,Ascomycota,95,Pezizomycetes,316,Pezizales,1057,Pyronemataceae,4131,Tarzetta,2583500,Tarzetta bronca,3496233,3496233,NE,,,,,,,,,,,,
3558315,Naematoloma dispersum var. flavifolium A.H.Sm.,2533475,Hypholoma dispersum Quél.,2,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Strophariaceae,4186,Hypholoma,2533397,Hypholoma dispersum,2533475,2533475,,,,,,,,,,,,,
5240771,Panus stipticus (Bull.) Fr.,9118025,Panellus stipticus (Bull.) P.Karst.,7,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Mycenaceae,4180,Panellus,2526673,Panellus stipticus,9118025,9118025,NE,,,,,,,,,,,,
5243619,Strobilurus albipilatus (Peck) V.L.Wells & Kempton,5243619,Strobilurus albipilatus (Peck) V.L.Wells & Kempton,2,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Physalacriaceae,4182,Strobilurus,2536946,Strobilurus albipilatus,5243619,5243619,NE,,,,,,,,,,,,
5261313,Biatora mendax Anzi,5261313,Biatora mendax Anzi,1,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Ramalinaceae,4812,Biatora,2584374,Biatora mendax,5261313,5261313,NE,,,,,,,,,,,,
5460150,Corticium pelliculare (P.Karst.) P.Karst.,2537020,Cylindrobasidium laeve (Pers.) Chamuris,2,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Physalacriaceae,4182,Cylindrobasidium,7893807,Cylindrobasidium laeve,2537020,2537020,NE,,,,,,,,,,,,
