"years_covered","first_year","last_year","time_depth","fid","within_quebec","geom"
42,1972,2020,49,855101,True,"MULTIPOLYGON(((-79.77413502158974 46.795772360332826,-80.22329266364952 46.97301113617428,-80.22329266364952 47.32573259083572,-79.77413502158974 47.50121581120846,-79.32497737953 47.32573259083572,-79.32497737953 46.97301113617428,-79.77413502158974 46.795772360332826)))"
37,1975,2020,46,855102,True,"MULTIPOLYGON(((-79.77413502158974 47.850428750131066,-80.22329266364952 48.024159135835944,-80.22329266364952 48.3698695606592,-79.77413502158974 48.54185038840175,-79.32497737953 48.3698695606592,-79.32497737953 48.024159135835944,-79.77413502158974 47.850428750131066)))"
33,1979,2020,42,855103,True,"MULTIPOLYGON(((-79.77413502158974 48.884065394003045,-80.22329266364952 49.0543004778452,-80.22329266364952 49.3930282153543,-79.77413502158974 49.56152188828269,-79.32497737953 49.3930282153543,-79.32497737953 49.0543004778452,-79.77413502158974 48.884065394003045)))"
14,1975,2013,39,855104,True,"MULTIPOLYGON(((-79.77413502158974 49.89677152835408,-80.22329266364952 50.06352862398913,-80.22329266364952 50.39531032037834,-79.77413502158974 50.56033615484632,-79.32497737953 50.39531032037834,-79.32497737953 50.06352862398913,-79.77413502158974 49.89677152835408)))"
5,1979,2010,32,855105,True,"MULTIPOLYGON(((-79.77413502158974 50.88866100833348,-80.22329266364952 51.05196136232246,-80.22329266364952 51.37684138502317,-79.77413502158974 51.538422486042094,-79.32497737953 51.37684138502317,-79.32497737953 51.05196136232246,-79.77413502158974 50.88866100833348)))"
2,1990,1993,4,855106,True,"MULTIPOLYGON(((-79.77413502158974 53.74090104049521,-80.22329266364952 53.89399371533502,-80.22329266364952 54.19850365951542,-79.77413502158974 54.34992286598044,-79.32497737953 54.19850365951542,-79.32497737953 53.89399371533502,-79.77413502158974 53.74090104049521)))"
40,1972,2020,49,855108,True,"MULTIPOLYGON(((-79.32497737953 46.2605410411582,-79.77413502158974 46.43953751872483,-79.77413502158974 46.795772360332826,-79.32497737953 46.97301113617428,-78.87581973747022 46.795772360332826,-78.87581973747022 46.43953751872483,-79.32497737953 46.2605410411582)))"
49,1934,2020,87,855109,True,"MULTIPOLYGON(((-79.32497737953 47.32573259083572,-79.77413502158974 47.50121581120846,-79.77413502158974 47.850428750131066,-79.32497737953 48.024159135835944,-78.87581973747022 47.850428750131066,-78.87581973747022 47.50121581120846,-79.32497737953 47.32573259083572)))"
51,1926,2020,95,855110,True,"MULTIPOLYGON(((-79.32497737953 48.3698695606592,-79.77413502158974 48.54185038840175,-79.77413502158974 48.884065394003045,-79.32497737953 49.0543004778452,-78.87581973747022 48.884065394003045,-78.87581973747022 48.54185038840175,-79.32497737953 48.3698695606592)))"
34,1975,2019,45,855111,True,"MULTIPOLYGON(((-79.32497737953 49.3930282153543,-79.77413502158974 49.56152188828269,-79.77413502158974 49.89677152835408,-79.32497737953 50.06352862398913,-78.87581973747022 49.89677152835408,-78.87581973747022 49.56152188828269,-79.32497737953 49.3930282153543)))"
9,1947,2010,64,855112,True,"MULTIPOLYGON(((-79.32497737953 50.39531032037834,-79.77413502158974 50.56033615484632,-79.77413502158974 50.88866100833348,-79.32497737953 51.05196136232246,-78.87581973747022 50.88866100833348,-78.87581973747022 50.56033615484632,-79.32497737953 50.39531032037834)))"
18,1934,2017,84,855113,True,"MULTIPOLYGON(((-79.32497737953 51.37684138502317,-79.77413502158974 51.538422486042094,-79.77413502158974 51.85987056614272,-79.32497737953 52.01973907100145,-78.87581973747022 51.85987056614272,-78.87581973747022 51.538422486042094,-79.32497737953 51.37684138502317)))"
11,1979,2019,41,855115,True,"MULTIPOLYGON(((-79.32497737953 53.27826084269948,-79.77413502158974 53.43303553523545,-79.77413502158974 53.74090104049521,-79.32497737953 53.89399371533502,-78.87581973747022 53.74090104049521,-78.87581973747022 53.43303553523545,-79.32497737953 53.27826084269948)))"
6,1914,2017,104,855116,True,"MULTIPOLYGON(((-79.32497737953 54.19850365951542,-79.77413502158974 54.34992286598044,-79.77413502158974 54.65109468086872,-79.32497737953 54.80084929792614,-78.87581973747022 54.65109468086872,-78.87581973747022 54.34992286598044,-79.32497737953 54.19850365951542)))"
21,1983,2017,35,855117,True,"MULTIPOLYGON(((-78.87581973747022 45.72003337687708,-79.32497737953 45.90078910917727,-79.32497737953 46.2605410411582,-78.87581973747022 46.43953751872483,-78.42666209541048 46.2605410411582,-78.42666209541048 45.90078910917727,-78.87581973747022 45.72003337687708)))"
47,1940,2020,81,855118,True,"MULTIPOLYGON(((-78.87581973747022 46.795772360332826,-79.32497737953 46.97301113617428,-79.32497737953 47.32573259083572,-78.87581973747022 47.50121581120846,-78.42666209541048 47.32573259083572,-78.42666209541048 46.97301113617428,-78.87581973747022 46.795772360332826)))"
51,1924,2020,97,855119,True,"MULTIPOLYGON(((-78.87581973747022 47.850428750131066,-79.32497737953 48.024159135835944,-79.32497737953 48.3698695606592,-78.87581973747022 48.54185038840175,-78.42666209541048 48.3698695606592,-78.42666209541048 48.024159135835944,-78.87581973747022 47.850428750131066)))"
40,1953,2020,68,855120,True,"MULTIPOLYGON(((-78.87581973747022 48.884065394003045,-79.32497737953 49.0543004778452,-79.32497737953 49.3930282153543,-78.87581973747022 49.56152188828269,-78.42666209541048 49.3930282153543,-78.42666209541048 49.0543004778452,-78.87581973747022 48.884065394003045)))"
31,1975,2014,40,855121,True,"MULTIPOLYGON(((-78.87581973747022 49.89677152835408,-79.32497737953 50.06352862398913,-79.32497737953 50.39531032037834,-78.87581973747022 50.56033615484632,-78.42666209541048 50.39531032037834,-78.42666209541048 50.06352862398913,-78.87581973747022 49.89677152835408)))"
28,1860,2019,160,855122,True,"MULTIPOLYGON(((-78.87581973747022 50.88866100833348,-79.32497737953 51.05196136232246,-79.32497737953 51.37684138502317,-78.87581973747022 51.538422486042094,-78.42666209541048 51.37684138502317,-78.42666209541048 51.05196136232246,-78.87581973747022 50.88866100833348)))"
15,1956,2019,64,855123,True,"MULTIPOLYGON(((-78.87581973747022 51.85987056614272,-79.32497737953 52.01973907100145,-79.32497737953 52.33776893795314,-78.87581973747022 52.49593191547987,-78.42666209541048 52.33776893795314,-78.42666209541048 52.01973907100145,-78.87581973747022 51.85987056614272)))"
17,1914,2019,106,855124,True,"MULTIPOLYGON(((-78.87581973747022 52.81055810568268,-79.32497737953 52.96702301969378,-79.32497737953 53.27826084269948,-78.87581973747022 53.43303553523545,-78.42666209541048 53.27826084269948,-78.42666209541048 52.96702301969378,-78.87581973747022 52.81055810568268)))"
29,1914,2019,106,855125,True,"MULTIPOLYGON(((-78.87581973747022 53.74090104049521,-79.32497737953 53.89399371533502,-79.32497737953 54.19850365951542,-78.87581973747022 54.34992286598044,-78.42666209541048 54.19850365951542,-78.42666209541048 53.89399371533502,-78.87581973747022 53.74090104049521)))"
6,1972,1997,26,855126,True,"MULTIPOLYGON(((-78.87581973747022 54.65109468086872,-79.32497737953 54.80084929792614,-79.32497737953 55.098701058943526,-78.87581973747022 55.24680027961811,-78.42666209541048 55.098701058943526,-78.42666209541048 54.80084929792614,-78.87581973747022 54.65109468086872)))"
38,1972,2020,49,855127,True,"MULTIPOLYGON(((-78.42666209541048 46.2605410411582,-78.87581973747022 46.43953751872483,-78.87581973747022 46.795772360332826,-78.42666209541048 46.97301113617428,-77.9775044533507 46.795772360332826,-77.9775044533507 46.43953751872483,-78.42666209541048 46.2605410411582)))"
39,1963,2018,56,855128,True,"MULTIPOLYGON(((-78.42666209541048 47.32573259083572,-78.87581973747022 47.50121581120846,-78.87581973747022 47.850428750131066,-78.42666209541048 48.024159135835944,-77.9775044533507 47.850428750131066,-77.9775044533507 47.50121581120846,-78.42666209541048 47.32573259083572)))"
51,1938,2020,83,855129,True,"MULTIPOLYGON(((-78.42666209541048 48.3698695606592,-78.87581973747022 48.54185038840175,-78.87581973747022 48.884065394003045,-78.42666209541048 49.0543004778452,-77.9775044533507 48.884065394003045,-77.9775044533507 48.54185038840175,-78.42666209541048 48.3698695606592)))"
38,1972,2019,48,855130,True,"MULTIPOLYGON(((-78.42666209541048 49.3930282153543,-78.87581973747022 49.56152188828269,-78.87581973747022 49.89677152835408,-78.42666209541048 50.06352862398913,-77.9775044533507 49.89677152835408,-77.9775044533507 49.56152188828269,-78.42666209541048 49.3930282153543)))"
10,1972,2017,46,855131,True,"MULTIPOLYGON(((-78.42666209541048 50.39531032037834,-78.87581973747022 50.56033615484632,-78.87581973747022 50.88866100833348,-78.42666209541048 51.05196136232246,-77.9775044533507 50.88866100833348,-77.9775044533507 50.56033615484632,-78.42666209541048 50.39531032037834)))"
20,1914,2019,106,855132,True,"MULTIPOLYGON(((-78.42666209541048 51.37684138502317,-78.87581973747022 51.538422486042094,-78.87581973747022 51.85987056614272,-78.42666209541048 52.01973907100145,-77.9775044533507 51.85987056614272,-77.9775044533507 51.538422486042094,-78.42666209541048 51.37684138502317)))"
13,1914,2019,106,855133,True,"MULTIPOLYGON(((-78.42666209541048 52.33776893795314,-78.87581973747022 52.49593191547987,-78.87581973747022 52.81055810568268,-78.42666209541048 52.96702301969378,-77.9775044533507 52.81055810568268,-77.9775044533507 52.49593191547987,-78.42666209541048 52.33776893795314)))"
