"scientific_name","rank"
"Glyptocephalus cynoglossus","species"
"Lycodes vahlii","species"
"Pollachius virens","species"
"Sebastes","genus"
"Merluccius bilinearis","species"
"Myxine glutinosa","species"
"Nezumia bairdii","species"
"Phycis chesteri","species"
"Malacoraja senta","species"
"Lophius americanus","species"
"Hemitripterus americanus","species"
"Limanda ferruginea","species"
"Illex illecebrosus","species"
"Peprilus triacanthus","species"
"Urophycis chuss","species"
"Squalus acanthias","species"
"Zoarces americanus","species"
"Hippoglossus hippoglossus","species"
"Enchelyopus cimbrius","species"
"Argentina silus","species"
"Merluccius albidus","species"
"Reinhardtius hippoglossoides","species"
"Scomber scombrus","species"
"Leptagonus decagonus","species"
"Aspidophoroides monopterygius","species"
"Artediellus uncinatus","species"
"Leptoclinus maculatus","species"
"Thuja occidentalis","species"
"Triglops murrayi","species"
"Ammodytes dubius","species"
"Edotia triloba","species"
"Eumicrotremus spinosus","species"
"Arctozenus risso","species"
"Centroscyllium fabricii","species"
"Rajella fyllae","species"
"Melanostigma atlanticum","species"
"Cyclopterus lumpus","species"
"Simenchelys parasitica","species"
"Synaphobranchus kaupii","species"
"Nemichthys scolopaceus","species"
"Liparis atlanticus","species"
"Lycodes esmarkii","species"
"Notacanthus chemnitzii","species"
"Artediellus","genus"
"Lumpenus lampretaeformis","species"
"Liparis fabricii","species"
"Lycodes pallidus","species"
"Liparis gibbus","species"
"Raja","genus"
"Artediellus atlanticus","species"
"Boltenia","genus"
"Lycodes lavalaei","species"
"Menidia menidia","species"
"Leucoraja erinacea","species"
"Scophthalmus aquosus","species"
"Dipturus laevis","species"
"Lycodes","genus"
"Icelus spatula","species"
"Ulvaria subbifurcata","species"
"Alosa aestivalis","species"
"Cryptacanthodes maculatus","species"
"Cottunculus microps","species"
"Chlorophthalmus agassizi","species"
"Stomias boa","species"
"Paraliparis garmani","species"
"Lycenchelys paxillus","species"
"Paraliparis copei","species"
"Tautogolabrus adspersus","species"
"Liparis inquilinus","species"
"Pholis gunnellus","species"
"Stenotomus chrysops","species"
"Liparis tunicatus","species"
"Myoxocephalus aenaeus","species"
"Chauliodus sloani","species"
"Gaidropsarus ensis","species"
"Lampanyctus macdonaldi","species"
"Brevoortia tyrannus","species"
"Lycenchelys verrillii","species"
"Magnisudis atlantica","species"
"Lycodes reticulatus","species"
"Careproctus reinhardti","species"
"Gymnelus viridis","species"
"Icelus bicornis","species"
"Lycodes polaris","species"
"Polyipnus asteroides","species"
"Citharichthys arctifrons","species"
"Cetorhinus maximus","species"
"Lumpenus fabricii","species"
"Urophycis regia","species"
"Hyperoglyphe perciformis","species"
"Dibranchus atlanticus","species"
"Eumesogrammus praecisus","species"
"Coryphaenoides rupestris","species"
"Argyropelecus aculeatus","species"
"Macrourus berglax","species"
"Paraliparis calidus","species"
"Trachyrincus murrayi","species"
"Gadus ogac","species"
"Maurolicus muelleri","species"
"Liparis coheni","species"
"Ammodytes","genus"
"Halocynthia pyriformis","species"
"Helicolenus dactylopterus","species"
"Scomberesox saurus","species"
"Urophycis","genus"
"Gymnocanthus tricuspis","species"
"Stichaeus punctatus","species"
"Antimora rostrata","species"
"Apristurus profundorum","species"
"Benthosema","genus"
"Prionotus carolinus","species"
"Etmopterus princeps","species"
"Ulcina olrikii","species"
"Lycodes eudipleurostictus","species"
"Bathylagus euryops","species"
"Naucrates ductor","species"
"Ascidia","genus"
"Malacocephalus occidentalis","species"
"Liparis liparis","species"
"Gonostoma elongatum","species"
"Stomias","genus"
"Bathyraja spinicauda","species"
"Serrivomer beanii","species"
"Chiasmodon niger","species"
"Hippoglossina oblonga","species"
"Loligo pealeii","species"
"Careproctus ranula","species"
"Asterias vulgaris","species"
"Cancer borealis","species"
"Dichelopandalus leptocerus","species"
"Homarus americanus","species"
"Pandalus borealis","species"
"Pandalus montagui","species"
"Placopecten magellanicus","species"
"Sebastes fasciatus","species"
"Trachurus lathami","species"
"Crangon septemspinosa","species"
"Pasiphaea multidentata","species"
"Pandalus propinquus","species"
"Hyas araneus","species"
"Cucumaria frondosa","species"
"Lebbeus groenlandicus","species"
"Pitar morrhuanus","species"
"Yoldia","genus"
"Mytilus edulis","species"
"Neptunea decemcostata","species"
"Strongylocentrotus droebachiensis","species"
"Arctica islandica","species"
"Caudina arenata","species"
"Pontophilus norvegicus","species"
"Anemonia","genus"
"Lebbeus polaris","species"
"Modiolus modiolus","species"
"Pandalus","genus"
"Astarte undata","species"
"Engraulis eurystole","species"
"Cyclocardia borealis","species"
"Chionoecetes opilio","species"
"Mercenaria mercenaria","species"
"Anchoa hepsetus","species"
"Decapterus punctatus","species"
"Spirontocaris spinus","species"
"Chlamys islandica","species"
"Stephanolepis hispidus","species"
"Balanus","genus"
"Centropristis striata","species"
"Zenopsis conchifer","species"
"Syngnathus fuscus","species"
"Eualus fabricii","species"
"Carcinus maenas","species"
"Colus stimpsoni","species"
"Polinices heros","species"
"Buccinum undatum","species"
"Axius serratus","species"
"Peristedion miniatum","species"
"Raja eglanteria","species"
"Aricidea catherinae","species"
"Aricidea quadrilobata","species"
"Chaetozone setosa","species"
"Cossura soyeri","species"
"Eteone longa","species"
"Euchone incolor","species"
"Haplocytheridea","genus"
"Ilyanassa trivittata","species"
"Levinsenia gracilis","species"
"Mediomastus","genus"
"Mya arenaria","species"
"Nephtys incisa","species"
"Ninoe nigripes","species"
"Nucula proxima","species"
"Pectinaria gouldii","species"
"Pleurogonium spinosissimum","species"
"Trochochaeta multisetosa","species"
"Aricidea","genus"
"Prionospio","genus"
"Ampharete finmarchica","species"
"Apistobranchus tullbergi","species"
"Aricidea suecica","species"
"Crenella decussata","species"
"Deflexilodes intermedius","species"
"Diastylis polita","species"
"Diplocirrus hirsutus","species"
"Eudorella pusilla","species"
"Eusarsiella zostericola","species"
"Galathowenia oculata","species"
"Lyonsia hyalina","species"
"Mediomastus californiensis","species"
"Pandora gouldiana","species"
"Pellucistoma","genus"
"Photis","genus"
"Polycirrus","genus"
"Potamilla neglecta","species"
"Prionospio steenstrupi","species"
"Pterygocythereis","genus"
"Retusa obtusa","species"
"Scoletoma acicularum","species"
"Stenopleustes gracilis","species"
"Terebellides stroemi","species"
"Thyasira trisinuata","species"
"Alvania pelagica","species"
"Ampharete acutifrons","species"
"Cylichna gouldii","species"
"Lumbrineris acicularum","species"
"Monoculodes intermedius","species"
"Onoba pelagica","species"
"Neomysis americana","species"
"Nephtys","genus"
"Periploma papyratium","species"
"Sternaspis scutata","species"
"Yoldia limatula","species"
"Axiothella mucosa","species"
"Clymenella torquata","species"
"Crassicorophium crassicorne","species"
"Dipolydora quadrilobata","species"
"Edotea triloba","species"
"Ensis","genus"
"Eudorellopsis deformis","species"
"Exogone hebes","species"
"Exogone verugera","species"
"Lacuna vincta","species"
"Leitoscoloplos foliosus","species"
"Mancocuma stellifera","species"
"Pholoe minuta","species"
"Photis macrocoxa","species"
"Phoxocephalus holbolli","species"
"Phyllodoce arenae","species"
"Polydora cornuta","species"
"viburnum","genus"
"Pygospio elegans","species"
"Spio setosa","species"
"Spiophanes bombyx","species"
"Tanaissus psammophilus","species"
"Chiridotea tuftsii","species"
"Corophium crassicorne","species"
"Polydora quadrilobata","species"
"Acmira catherinae","species"
"Capitella","genus"
"Autolytus","genus"
"Diastylis sculpta","species"
"Dipolydora socialis","species"
"Erythrops","genus"
"Euspira heros","species"
"Haploops setosa","species"
"Harmothoe imbricata","species"
"Harpinia propinqua","species"
"Monocorophium acherusicum","species"
"Monticellina dorsobranchialis","species"
"Munna fabricii","species"
"Ophelina acuminata","species"
"Phascolion strombi","infraspecies"
"Pherusa plumosa","species"
"Scoletoma","genus"
"Sphaerodoropsis minuta","species"
"Streblospio benedicti","species"
"Syllis","genus"
"Tharyx","genus"
"Tharyx acutus","species"
"Trichobranchus glacialis","species"
"Unciola irrorata","species"
"Aeginina longicornis","species"
"Corophium acherusicum","species"
"Ericthonius rubricornis","species"
"Lumbrinereis","genus"
"Nassarius trivittatus","species"
"Polydora socialis","species"
"Tharyx dorsobranchialis","species"
"Jaera marina","species"
"Nereis","genus"
"Ampelisca","genus"
"Corophium","genus"
"Ampelisca abdita","species"
"Marenzelleria","genus"
"Marenzelleria viridis","species"
"Argissa hamatipes","species"
"Leitoscoloplos","genus"
"Phoronis","genus"
"Eusarsiella","genus"
"Metopella angusta","species"
"Nephtys simoni","species"
"Scoletoma impatiens","species"
"Lumbrineris impatiens","species"
"Dulichia porrecta","species"
"Asabellides oculata","species"
"Flabelligera affinis","species"
"Leitoscoloplos robustus","species"
"Lepidonotus sublevis","species"
"Microphthalmus","genus"
"Polygordius","genus"
"Psammonyx nobilis","species"
"Spio filicornis","species"
"Turbonilla interrupta","species"
"Unciola","genus"
"Cerastoderma pinnulatum","species"
"Harmothoe extenuata","species"
"Nereis pelagica","species"
"Parasterope pollex","species"
"Pherusa","genus"
"Spio","genus"
"Drilonereis longa","species"
"Laonome kroyeri","species"
"Idotea balthica","species"
"Paracaprella tenuis","species"
"Scoloplos robustus","species"
"Scoletoma verrilli","species"
"Chone","genus"
"Ampelisca verrilli","species"
"Capitella capitata","species"
"Exogone longicirris","species"
"Microphthalmus sczelkowii","species"
"Orchomenella minuta","species"
"Oxyurostylis smithi","species"
"Praxillella gracilis","species"
"Sphaerosyllis perkinsi","species"
"Petaloproctus tenuis","species"
"Phyllodoce groenlandica","species"
"Anaitides groenlandica","species"
"Casco bigelowi","species"
"Spiochaetopterus oculatus","species"
"Hyperoodon ampullatus","species"
"Somateria fischeri","species"
"Mergus","genus"
"Melanitta nigra","species"
"Carduelis pinus","species"
"Carpodacus purpureus","species"
"Dendroica coronata","species"
"Dendroica magnolia","species"
"Dendroica pensylvanica","species"
"Hirundo pyrrhonota","species"
"Parus atricapillus","species"
"Seiurus aurocapillus","species"
"Vermivora ruficapilla","species"
"Contopus borealis","species"
"Dendroica caerulescens","species"
"Dendroica fusca","species"
"Dendroica striata","species"
"Dendroica virens","species"
"Oporornis philadelphia","species"
"Parula americana","species"
"Seiurus noveboracensis","species"
"Troglodytes troglodytes","species"
"Wilsonia canadensis","species"
"Euonymus javanicus","species"
"Caprimulgus vociferus","species"
"Hesperiphona vespertina","species"
"Dendroica tigrina","species"
"Typosyllis","genus"
"Syllides longocirrata","species"
"Caprella","genus"
"Amphipholis squamata","species"
"Priapula","genus"
"Sphaerosyllis longicauda","species"
"Dendrodoa carnea","species"
"Gattyana cirrosa","species"
"Goniada maculata","species"
"Harmothoe","genus"
"Syllides","genus"
"Ampharete","genus"
"Chiridota laevis","species"
"Dexamine thea","species"
"Tubificoides heterochaetus","species"
"Ampelisca vadorum","species"
"Corophium volutator","species"
"Heteromastus filiformis","species"
"Macoma balthica","species"
"Odostomia","genus"
"Odostomia trifida","species"
"Astarte castanea","species"
"Diastylis","genus"
"Nephtys picta","species"
"Nereis grayi","species"
"Parapionosyllis longicirrata","species"
"Schizobranchia insignis","species"
"Leptostylis longimana","species"
"Yoldia sapotilla","species"
"Leptocheirus pinguis","species"
"Mayerella limicola","species"
"Melinna cristata","species"
"Pherusa affinis","species"
"Rhodine loveni","species"
"Scoletoma fragilis","species"
"Scalibregma inflatum","species"
"Lumbrineris fragilis","species"
"Lumbrineris verrilli","species"
"Thyasira flexuosa","species"
"Gemma gemma","species"
"Haplocytheridea setipunctata","species"
"Littorina","genus"
"Manayunkia speciosa","species"
"Cyathura polita","species"
"Glycera dibranchiata","species"
"Parougia caeca","species"
"Apoprionospio pygmaea","species"
"Erythrops erythrophthalma","species"
"Proceraea cornuta","species"
"Autolytus cornutus","species"
"Propebela cancellata","species"
"Stenopleustes inermis","species"
"Alvania","genus"
"Echinarachnius parma","species"
"Eumida sanguinea","species"
"Glycera capitata","species"
"Nereis diversicolor","species"
"Nucula","genus"
"Pontogeneia inermis","species"
"Ptilanthura tenuis","species"
"Syllis cornuta","species"
"Tellina","genus"
"Tharyx kirkegaardi","species"
"Aphrodita hastata","species"
"Xema sabini","species"
"Brada villosa","species"
"Microphthalmus aberrans","species"
"Cossurella","genus"
"Idotea phosphorea","species"
"Pagurus","genus"
"Sclerodactyla briareus","species"
"Erichsonella attenuata","species"
"Ischyrocerus anguipes","species"
"Nephtys caeca","species"
"Corbula contracta","species"
"Crenella glandula","species"
"Ericthonius brasiliensis","species"
"Eteone heteropoda","species"
"Maera danae","species"
"Mediomastus ambiseta","species"
"Nuculana acuta","species"
"Petalosarsia declivis","species"
"Photis reinhardi","species"
"Polycirrus eximius","species"
"Spisula solidissima","species"
"Tharyx annulosus","species"
"Tharyx killariensis","species"
"Ampharete arctica","species"
"Asychis elongata","species"
"Bittium alternatum","species"
"Circeis spirillum","species"
"Crepidula","genus"
"Euchone rubrocincta","species"
"Eudorella truncatula","species"
"Exogone dispar","species"
"Molgula","genus"
"Monoculodes","genus"
"Munna","genus"
"Nassarius vibex","species"
"Nucula delphinodonta","species"
"Parametopella cypris","species"
"Sphaerodoropsis","genus"
"Aricidea cerrutii","species"
"Caulleriella","genus"
"Lamprops quadriplicata","species"
"Microdeutopus","genus"
"Mysella planulata","species"
"Nephtys squamosa","species"
"Solen viridis","species"
"Spio goniocephala","species"
"Streptosyllis arenae","species"
"Tiron spiniferus","species"
"Tiron spiniferum","species"
"Phyllodoce mucosa","species"
"Dipolydora concharum","species"
"Ophelina cylindricaudata","species"
"Paranaitis speciosa","species"
"Cossura longocirrata","species"
"Apocorophium acutum","species"
"Capitella jonesi","species"
"Exogone rolani","species"
"Nephtys longosetosa","species"
"Paraonis fulgens","species"
"Politolana polita","species"
"Pseudoleptocuma","genus"
"Scoloplos armiger","species"
"Streptosyllis varians","species"
"Travisia carnea","species"
"Diastylis goodsiri","species"
"Rallus limicola","species"
"Geukensia demissa","species"
"Syllides setosa","species"
"Tubulanus","genus"
"Crenella","genus"
"Galathowenia","genus"
"Microspio pigmentata","species"
"Poecilochaetus","genus"
"Acteocina canaliculata","species"
"Paraleucon","genus"
"Axiognathus squamata","species"
"Clinocardium ciliatum","species"
"Diastylis quadrispinosa","species"
"Dipolydora caulleryi","species"
"Leptochelia","genus"
"Microspio maori","species"
"Mitrella rosacea","species"
"Moelleria","genus"
"Monocorophium tuberculatum","species"
"Pionosyllis","genus"
"Thyasira","genus"
"Actinocythereis","genus"
"Uria","genus"
"Larus","genus"
"Puffinus gravis","species"
"Larus sabini","species"
"Puffinus griseus","species"
"Fulmarus","genus"
"Stercorarius","genus"
"Larus philadelphia","species"
"Delphinus delphis","species"
"Oceanodroma","genus"
"Globicephala melas","species"
"Catharacta skua","species"
"Lagenorhynchus acutus","species"
"Sterna","genus"
"Melanitta","genus"
"Somateria","genus"
"Sterna caspia","species"
"Larus thayeri","species"
"Cepphus","genus"
"Megaptera novaeangliae","species"
"Puffinus","genus"
"Lagenorhynchus albirostris","species"
"Larus atricilla","species"
"Balaenoptera acutorostrata","species"
"Larus ridibundus","species"
"Fratercula","genus"
"Pagophilus groenlandicus","species"
"Parus hudsonicus","species"
"Wilsonia pusilla","species"
"Dendroica palmarum","species"
"Vermivora peregrina","species"
"Oporornis formosus","species"
"Carpodacus mexicanus","species"
"Ammodramus henslowii","species"
"Seiurus motacilla","species"
"Dendroica discolor","species"
"Doryteuthis pealeii","species"
"Atlantopandalus propinqvus","species"
"Uria aalge","species"
"Chaceon quinquedens","species"
"Physeter macrocephalus","species"
"Catharacta maccormicki","species"
"Limosa","genus"
"Chen caerulescens","species"
"Fregetta grallaria","species"
"Sula","genus"
"Larus hemprichii","species"
"Actitis macularia","species"
"Pterodroma","genus"
"Erignathus barbatus","species"
"Tursiops truncatus","species"
"Calanus finmarchicus","species"
"Limacina","genus"
"Obelia","genus"
"Pleurobrachia pileus","species"
"Pleuromamma borealis","species"
"Temora longicornis","species"
"Acartia longiremis","species"
"Centropages","genus"
"Clausocalanus","genus"
"Eurytemora herdmani","species"
"Evadne","genus"
"Oithona","genus"
"Oithona atlantica","species"
"Oithona similis","species"
"Paracalanus","genus"
"Pseudocalanus","genus"
"Themisto compressa","species"
"Acartia clausii","species"
"Sagitta","genus"
"Clausocalanus pergens","species"
"Metridia longa","species"
"Microcalanus","genus"
"Calanus hyperboreus","species"
"Centropages typicus","species"
"Thalia democratica","species"
"Cyclothone","genus"
"Aurelia aurita","species"
"Melicertum octocostatum","species"
"Sergestes","genus"
"Gennadas elegans","species"
"Acanthephyra purpurea","species"
"Euphysa aurata","species"
"Halopsis ocellata","species"
"Euphysa tentaculata","species"
"Dichelopandalus","genus"
"Clausocalanus paululus","species"
"Lucicutia ovalis","species"
"Bentheuphausia amblyops","species"
"Candacia","genus"
"Sagitta elegans","species"
"Aurelia","genus"
"Anomalocera patersoni","species"
"Eualus","genus"
"Undeuchaeta plumosa","species"
"Eumedusa birulai","species"
"Acartia tonsa","species"
"Stylocheiron maximum","species"
"Phialidium languidum","species"
"Aequorea vitrina","species"
"Salpa","genus"
"Chiridius","genus"
"Paracalanus parvus","species"
"Lumpenus","genus"
"Bacillaria","genus"
"Gymnodinium","genus"
"Orcinus orca","species"
"Halichoerus grypus","species"
"Larus minutus","species"
"Cystophora cristata","species"
"Balaenoptera borealis","species"
"Anous","genus"
"Oceanodroma tethys","species"
"Larus pipixcan","species"
"Clausocalanus arcuicornis","species"
"Mecynocera clausi","species"
"Aglantha digitalis","species"
"Calanus glacialis","species"
"Oikopleura","genus"
"Oncaea","genus"
"Aetideus armatus","species"
"Benthosema glaciale","species"
"Clione limacina","species"
"Conchoecia","genus"
"Eukrohnia hamata","species"
"Heterorhabdus norvegicus","species"
"Limacina helicina","species"
"Nematoscelis megalops","species"
"Parasagitta","genus"
"Pleuromamma robusta","species"
"Pseudosagitta maxima","species"
"Sarsia princeps","species"
"Scolecithricella minor","species"
"Thalestris","genus"
"Thysanoessa longicaudata","species"
"Serratosagitta serratodentata","species"
"Meganyctiphanes norvegica","species"
"Oncaea borealis","species"
"Tomopteris helgolandica","species"
"Parasagitta elegans","species"
"Tortanus discaudatus","species"
"Metridia","genus"
"Centropages hamatus","species"
"Lumpenus lumpretaeformis","species"
"Themisto","genus"
"Thysanopoda","genus"
"Microcalanus pusillus","species"
"Microsetella norvegica","species"
"Parathemisto libellula","species"
"Evadne nordmanni","species"
"Acartia","genus"
"Eurytemora","genus"
"Eukrohnia fowleri","species"
"Podon","genus"
"Clausocalanus furcatus","species"
"Gaidius tenuispinus","species"
"Euchaeta norvegica","species"
"Pasiphaea","genus"
"Acartia hudsonica","species"
"Pleuromamma","genus"
"Limacina retroversa","species"
"Sapphirina","genus"
"Euchaeta","genus"
"Oikopleura labradoriensis","species"
"Pelagia noctiluca","species"
"Scolecithricella ovata","species"
"Beroe cucumis","species"
"Euchirella","genus"
"Scolecithricella","genus"
"Euchirella rostrata","species"
"Parathemisto","genus"
"Spinocalanus abyssalis","species"
"Acanthephyra pelagica","species"
"Cyanea capillata","species"
"Tomopteris","genus"
"Labidocera","genus"
"Clytemnestra scutellata","species"
"Leuckartiara","genus"
"Tomopteris septentrionalis","species"
"Thysanoessa inermis","species"
"Themisto abyssorum","species"
"Mertensia ovum","species"
"Lucicutia flavicornis","species"
"Oncaea venusta","species"
"Candacia armata","species"
"Fritillaria borealis","species"
"Chiridius gracilis","species"
"Acartia danae","species"
"Corycaeus","genus"
"Beroe","genus"
"Aegisthus dubius","species"
"Hyas","genus"
"Podon intermedius","species"
"Lumpenus maculatus","species"
"Heterorhabdus","genus"
"Evadne spinifera","species"
"Limacina inflata","species"
"Periphylla periphylla","species"
"Oikopleura vanhoeffeni","species"
"Thalassionema nitzschioides","species"
"Amphora","genus"
"Navicula","genus"
"Chaetoceros","genus"
"Paraeuchaeta norvegica","species"
"Sergestes arcticus","species"
"Sergia robusta","species"
"Macrosetella gracilis","species"
"Undeuchaeta major","species"
"Eucalanus","genus"
"Gennadas valens","species"
"Gaidius","genus"
"Neocalanus gracilis","species"
"Oncaea minuta","species"
"Centropages bradyi","species"
"Sabinea septemcarinata","species"
"Eualus macilentus","species"
"Cyclothone braueri","species"
"Pollichthys mauli","species"
"Nannocalanus minor","species"
"Boreomysis","genus"
"Gennadas","genus"
"Acanthephyra","genus"
"Thysanoessa gregaria","species"
"Mnemiopsis leidyi","species"
"Porania","genus"
"Pycnogonum litorale","species"
"Sabinea","genus"
"Stegocephalus","genus"
"Spirontocaris lilljeborgii","species"
"Cerastoderma","genus"
"Lebbeus microceros","species"
"Stomphia coccinea","species"
"Ptychatractus ligatus","species"
"Echinarachnius","genus"
"Pseudopallene circularis","species"
"Aporrhais","genus"
"Astarte elliptica","species"
"Aphrodita","genus"
"Pasiphaea tarda","species"
"Cancer","genus"
"Boreogadus saida","species"
"Triglops","genus"
"Paralepis coregonoides","species"
"Benthodesmus elongatus","species"
"Lepophidium profundorum","species"
"Caelorinchus caelorhincus","species"
"Mustelus canis","species"
"Zenopsis conchifera","species"
"Ceratoscopelus maderensis","species"
"Leucoraja garmani","species"
"Pomatomus saltatrix","species"
"Aluterus schoepfii","species"
"Paralichthys dentatus","species"
"Parasudis truculenta","species"
"Raja senta","species"
"Leathesia difformis","species"
"Lithodes maja","species"
"Gorgonocephalus arcticus","species"
"Hyas coarctatus","species"
"Chaceon","genus"
"Eualus gaimardii","species"
"Eusirus cuspidatus","species"
"Oediceros saginatus","species"
"Rhachotropis aculeata","species"
"Sclerocrangon boreas","species"
"Stegocephalus inflatus","species"
"Themisto libellula","species"
"Lophaster furcifer","species"
"Meganyctiphanes","genus"
"Strongylocentrotus","genus"
"Triglops nybelini","species"
"Argis dentata","species"
"Triglops pingelii","species"
"Anonyx nugax","species"
"Paramphithoe hystrix","species"
"Gonatus fabricii","species"
"Eumicrotremus derjugini","species"
"Lycenchelys","genus"
"Rossia palpebrosa","species"
"Sebastes mentella","species"
"Hyperia","genus"
"Pteraster militaris","species"
"Gymnelus retrodorsalis","species"
"Heliometra glacialis","species"
"Leptasterias polaris","species"
"Pteraster obscurus","species"
"Crossaster papposus","species"
"Henricia","genus"
"Acanthostepheia malmgreni","species"
"Buccinum","genus"
"Bathypolypus","genus"
"Amblyraja hyperborea","species"
"Solaster endeca","species"
"Hiatella arctica","species"
"Paroediceros lynceus","species"
"Leptasterias groenlandica","species"
"Leptasterias","genus"
"Psolus fabricii","species"
"Mysis","genus"
"Socarnes bidenticulatus","species"
"Bathypolypus arcticus","species"
"Ctenodiscus crispatus","species"
"Macoma calcarea","species"
"Nuculana","genus"
"Arrhis phyllonyx","species"
"Diplopteraster multipes","species"
"Cyclopteropsis mcalpini","species"
"Thysanoessa","genus"
"Gaidropsarus argentatus","species"
"Gonatus","genus"
"Sclerocrangon ferox","species"
"Somniosus microcephalus","species"
"Gorgonocephalus","genus"
"Duva florida","species"
"Lycodes paamiuti","species"
"Gersemia rubiformis","species"
"Epimeria loricata","species"
"Eusirus","genus"
"Lycenchelys kolthoffi","species"
"Psolus","genus"
"Cucumaria","genus"
"Gaidropsarus","genus"
"Arcturus baffini","species"
"Velutina","genus"
"Lycenchelys muraena","species"
"Rhachotropis","genus"
"Heliometra","genus"
"Icasterias","genus"
"Pontoporeia femorata","species"
"Acanthonotozoma cristatum","species"
"Myoxocephalus","genus"
"Saduria","genus"
"Nuculana pernula","species"
"Poraniomorpha tumida","species"
"Paramphithoe","genus"
"Tole","genus"
"Musculus","genus"
"Maera","genus"
"Bythocaris simplicirostris","species"
"Musculus discors","species"
"Haploops tubicola","species"
"Psolus phantapus","species"
"Cryptonatica affinis","species"
"Serripes groenlandicus","species"
"Yoldia hyperborea","species"
"Lycodes terraenovae","species"
"Socarnes","genus"
"Lycodes adolfi","species"
"Solaster","genus"
"Ericthonius tolli","species"
"Macoma","genus"
"Anonyx","genus"
"Mya truncata","species"
"Astarte","genus"
"Lycodes luetkenii","species"
"Cottunculus sadko","species"
"Hippasteria phrygiana","species"
"Alepocephalus bairdii","species"
"Lycenchelys sarsii","species"
"Serranus scriba","species"
"Gigantactis vanhoeffeni","species"
"Careproctus micropus","species"
"Ctenodiscus","genus"
"Lithodes","genus"
"Cerianthus","genus"
"Porania insignis","infraspecies"
"Poraniomorpha","genus"
"Ophiopholis aculeata","species"
"Anomia aculeata","species"
"Ophiura sarsii","species"
"Anomia simplex","species"
"Pagurus pubescens","species"
"Pteraster","genus"
"Velutina velutina","species"
"Yoldia myalis","species"
"Astarte crenata","species"
"Henricia sanguinolenta","species"
"Illex","genus"
"Buccinum hydrophanum","species"
"Spirontocaris","genus"
"Nymphon stroemi","species"
"Hippasteria","genus"
"Epimeria","genus"
"Euphausia","genus"
"Gammarus mucronatus","species"
"Gammarus tigrinus","species"
"Gammarus lawrencianus","species"
"Suberites","genus"
"Arctica","genus"
"Nuculana tenuisulcata","species"
"Anomia","genus"
"Asterias rubens","species"
"Cyclocardia","genus"
"Hydractinia","genus"
"Pagurus acadianus","species"
"Mytilus","genus"
"Sphyrion","genus"
"Nymphon grossipes","species"
"Nymphon longitarse","species"
"Polymastia","genus"
"Bathyarca pectunculoides","species"
"Laetmonice","genus"
"Chirona hameri","species"
"Epitonium","genus"
"Aphroditella hastata","species"
"Aporrhais occidentalis","species"
"Brisaster fragilis","species"
"Crangon","genus"
"Aristaeopsis edwardsiana","species"
"Pseudomma affine","species"
"Campylaspis rubicunda","species"
"Thyonidium drummondii","species"
"Sabinea sarsii","species"
"Cylichna alba","species"
"Macoma tenta","species"
"Nuculoma tenuis","species"
"Cardiomya abyssicola","species"
"Megayoldia thraciaeformis","species"
"Colus pygmaeus","species"
"Musculus niger","species"
"Gammarus finmarchicus","species"
"Neolithodes grimaldii","species"
"Dentalium","genus"
"Placopecten","genus"
"Epitonium greenlandicum","species"
"Euspira","genus"
"Euspira immaculata","species"
"Gnathia","genus"
"Liocyma fluctuosa","species"
"Natica","genus"
"Synidotea","genus"
"Cistenides","genus"
"Pagurus arcuatus","species"
"Euspira triseriata","species"
"Onuphis","genus"
"Puncturella noachina","species"
"Solariella obscura","species"
"Achelia scabra","species"
"Margarites costalis","species"
"Asterias","genus"
"Ophiura robusta","species"
"Ophiura","genus"
"Sternaspis","genus"
"Curtitoma decussata","species"
"Margarites","genus"
"Ocnus planci","species"
"Oenopota elegans","species"
"Astarte quadrans","species"
"Lepas","genus"
"Leucothoe spinicarpa","species"
"Marsenina glabra","species"
"Calliostoma occidentale","species"
"Anoplodactylus lentus","species"
"Neptunea","genus"
"Bubo virginianus","species"
"Circus cyaneus","species"
"Dendroica pinus","species"
"Dendroica castanea","species"
"Vermivora pinus","species"
"Dendroica cerulea","species"
"Aegolius acadicus","species"
"Parus bicolor","species"
"Carduelis flammea","species"
"Alosa mediocris","species"
"Maurolicus weitzmani","species"
"Octopus vulgaris","species"
"Conger oceanicus","species"
"Stoloteuthis leucoptera","species"
"Etrumeus teres","species"
"Torpedo nobiliana","species"
"Busycotypus canaliculatus","species"
"Elagatis bipinnulata","species"
"Picea","genus"
"Diaphus","genus"
"Syngnathus","genus"
"Remora brachyptera","species"
"Anoplogaster cornuta","species"
"Mycteroperca","genus"
"Careproctus longipinnis","species"
"Cottunculus thomsonii","species"
"Ophichthus cruentifer","species"
"Sphoeroides maculatus","species"
"Myoxocephalus scorpioides","species"
"Stephanolepis hispida","species"
"Careproctus","genus"
"Pholis fasciata","species"
"Venefica procera","species"
"Gonostoma bathyphilum","species"
"Setophaga fusca","species"
"Tamiasciurus hudsonicus","species"
"Sciurus carolinensis","species"
"Sphagnum","genus"
"Pogonatum","genus"
"Salix herbacea","species"
"Tomentypnum nitens","species"
"Carex","genus"
"Dicranum","genus"
"Calliergon sarmentosum","species"
"Paludella squarrosa","species"
"Polytrichum","genus"
"Vaccinium uliginosum","species"
"Betula glandulosa","species"
"Equisetum","genus"
"Harrimanella hypnoides","species"
"Euphrasia arctica","species"
"Antocha","genus"
"Dicranota","genus"
