"scientific_name","rank"
"Vireo gilvus","species"
"Zonotrichia albicollis","species"
"Toxostoma rufum","species"
"Ardea herodias","species"
"Passerculus sandwichensis","species"
"Branta bernicla","species"
"Tachycineta bicolor","species"
"Stelgidopteryx serripennis","species"
"Melospiza georgiana","species"
"Circus hudsonius","species"
"Phalacrocorax auritus","species"
"Melanitta americana","infraspecies"
"Charadrius semipalmatus","species"
"Meleagris gallopavo","species"
"Catharus guttatus","species"
"Leucophaeus atricilla","species"
"Cygnus olor","species"
"Pipilo erythrophthalmus","species"
"Troglodytes hiemalis","species"
"Corvus corax","species"
"Tringa melanoleuca","species"
"Tyrannus tyrannus","species"
"Setophaga virens","species"
"Regulus calendula","species"
"Dryocopus pileatus","species"
"Tringa semipalmata","species"
"Bucephala albeola","species"
"Setophaga coronata","species"
"Spizelloides arborea","species"
"Icterus spurius","species"
"Archilochus colubris","species"
"Geothlypis philadelphia","species"
"Accipiter cooperii","species"
"Mergus serrator","species"
"Calidris subruficollis","species"
"Sphyrapicus varius","species"
"Spizella pusilla","species"
"Seiurus aurocapilla","species"
"Gallinago delicata","species"
"Piranga olivacea","species"
"Coragyps atratus","species"
"Pluvialis squatarola","species"
"Setophaga pensylvanica","species"
"Eremophila alpestris","species"
"Catharus fuscescens","species"
"Egretta thula","species"
"Calidris minutilla","species"
"Accipiter striatus","species"
"Bubo virginianus","species"
"Certhia americana","species"
"Aythya collaris","species"
"Mareca strepera","species"
"Spatula clypeata","species"
"Melanitta deglandi","infraspecies"
"Anas platyrhynchos","species"
"Vireo olivaceus","species"
"Passerina cyanea","species"
"Haematopus palliatus","species"
"Anas acuta","species"
"Setophaga magnolia","species"
"Larus glaucoides","species"
"Sterna forsteri","species"
"Parkesia noveboracensis","species"
"Falco columbarius","species"
"Pheucticus ludovicianus","species"
"Cistothorus palustris","species"
"Rynchops niger","species"
"Myiopsitta monachus","species"
"Vireo philadelphicus","species"
"Regulus satrapa","species"
"Setophaga discolor","species"
"Somateria mollissima","species"
"Contopus virens","species"
"Spinus pinus","species"
"Passerella iliaca","species"
"Podilymbus podiceps","species"
"Coccyzus erythropthalmus","species"
"Sitta canadensis","species"
"Strix varia","species"
"Dolichonyx oryzivorus","species"
"Empidonax traillii","species"
"Setophaga americana","species"
"Falco sparverius","species"
"Bucephala clangula","species"
"Helmitheros vermivorum","species"
"Sturnella magna","species"
"Plectrophenax nivalis","species"
"Aythya valisineria","species"
"Empidonax alnorum","species"
"Haemorhous purpureus","species"
"Sterna hirundo","species"
"Calidris pusilla","species"
"Myiarchus crinitus","species"
"Calidris alba","species"
"Nycticorax nycticorax","species"
"Riparia riparia","species"
"Bubo scandiacus","species"
"Setophaga palmarum","species"
"Coccyzus americanus","species"
"Nyctanassa violacea","species"
"Mareca americana","species"
"Melanitta perspicillata","species"
"Arenaria interpres","species"
"Lecidea","genus"
"Calidris alpina","species"
"Numenius phaeopus","species"
"Butorides virescens","species"
"Plegadis falcinellus","species"
"Vireo flavifrons","species"
"Leiothlypis celata","species"
"Progne subis","species"
"Egretta caerulea","species"
"Buteo platypterus","species"
"Anser brachyrhynchus","species"
"Setophaga caerulescens","species"
"Fulica americana","species"
"Leiothlypis ruficapilla","species"
"Calidris melanotos","species"
"Morus bassanus","species"
"Zonotrichia leucophrys","species"
"Setophaga pinus","species"
"Chroicocephalus philadelphia","species"
"Vireo griseus","species"
"Vermivora cyanoptera","species"
"Larus fuscus","species"
"Catharus ustulatus","species"
"Setophaga citrina","species"
"Coccothraustes vespertinus","species"
"Calcarius lapponicus","species"
"Oceanites oceanicus","species"
"Podiceps grisegena","species"
"Setophaga fusca","species"
"Oxyura jamaicensis","species"
"Anser caerulescens","species"
"Sternula antillarum","species"
"Pluvialis dominica","species"
"Quiscalus major","species"
"Anser rossii","species"
"Antigone canadensis","species"
"Limnodromus griseus","species"
"Actitis macularius","species"
"Tringa solitaria","species"
"Scolopax minor","species"
"Setophaga striata","species"
"Melospiza lincolnii","species"
"Anthus rubescens","species"
"Phasianus colchicus","species"
"Leiothlypis peregrina","species"
"Empidonax virescens","species"
"Aythya marila","species"
"Aythya americana","species"
"Setophaga tigrina","species"
"Egretta tricolor","species"
"Petrochelidon pyrrhonota","species"
"Phalacrocorax carbo","species"
"Cardellina pusilla","species"
"Setophaga castanea","species"
"Larus hyperboreus","species"
"Empidonax minimus","species"
"Ammospiza maritima","species"
"Calidris maritima","species"
"Limosa fedoa","species"
"Megascops asio","species"
"Calidris fuscicollis","species"
"Rallus elegans","species"
"Rallus crepitans","species"
"Empidonax flaviventris","species"
"Alca torda","species"
"Spiza americana","species"
"Pooecetes gramineus","species"
"Plegadis chihi","species"
"Aythya fuligula","species"
"Branta hutchinsii","species"
"Aegolius acadicus","species"
"Bonasa umbellus","species"
"Podiceps nigricollis","species"
"Rissa tridactyla","species"
"Spatula discors","species"
"Lanius borealis","species"
"Calidris bairdii","species"
"Piranga rubra","species"
"Pelecanus erythrorhynchos","species"
"Xanthocephalus xanthocephalus","species"
"Catharus minimus","species"
"Anser albifrons","species"
"Spizella pallida","species"
"Somateria spectabilis","species"
"Gavia pacifica","species"
"Calidris himantopus","species"
"Porzana carolina","species"
"Gallinula galeata","species"
"Branta leucopsis","species"
"Mareca penelope","species"
"Botaurus lentiginosus","species"
"Calidris mauri","species"
"Loxia curvirostra","species"
"Asio otus","species"
"Thalasseus maximus","species"
"Protonotaria citrea","species"
"Icteria virens","species"
"Bubulcus ibis","species"
"Chroicocephalus ridibundus","species"
"Passerina caerulea","species"
"Limnodromus scolopaceus","species"
"Onychoprion anaethetus","species"
"Oporornis agilis","species"
"Passerina ciris","species"
"Accipiter gentilis","species"
"Calonectris diomedea","species"
"Geothlypis formosa","species"
"Bartramia longicauda","species"
"Ammospiza leconteii","species"
"Phalaropus tricolor","species"
"Buteo lagopus","species"
