"fid","within_quebec","geom"
"855147","True","MULTIPOLYGON(((-77.9775044533507 53.74090104049521,-78.42666209541048 53.89399371533502,-78.42666209541048 54.19850365951542,-77.9775044533507 54.34992286598044,-77.52834681129094 54.19850365951542,-77.52834681129094 53.89399371533502,-77.9775044533507 53.74090104049521)))"
"855148","True","MULTIPOLYGON(((-77.9775044533507 54.65109468086872,-78.42666209541048 54.80084929792614,-78.42666209541048 55.098701058943526,-77.9775044533507 55.24680027961811,-77.52834681129094 55.098701058943526,-77.52834681129094 54.80084929792614,-77.9775044533507 54.65109468086872)))"
"855149","True","MULTIPOLYGON(((-77.9775044533507 58.09482323759508,-78.42666209541048 58.23161534424471,-78.42666209541048 58.503624741029995,-77.9775044533507 58.63884453781967,-77.52834681129094 58.503624741029995,-77.52834681129094 58.23161534424471,-77.9775044533507 58.09482323759508)))"
"855150","True","MULTIPOLYGON(((-77.9775044533507 58.90772064628476,-78.42666209541048 59.04137950514466,-78.42666209541048 59.307145248161845,-77.9775044533507 59.43925471735169,-77.52834681129094 59.307145248161845,-77.52834681129094 59.04137950514466,-77.9775044533507 58.90772064628476)))"
"855152","True","MULTIPOLYGON(((-77.9775044533507 60.47774172561073,-78.42666209541048 60.605273902188486,-78.42666209541048 60.85883387799965,-77.9775044533507 60.98486438834694,-77.52834681129094 60.85883387799965,-77.52834681129094 60.605273902188486,-77.9775044533507 60.47774172561073)))"
"855154","True","MULTIPOLYGON(((-77.9775044533507 61.97530160621213,-78.42666209541048 62.096901097190106,-78.42666209541048 62.33864526623141,-77.9775044533507 62.458792744560206,-77.52834681129094 62.33864526623141,-77.52834681129094 62.096901097190106,-77.9775044533507 61.97530160621213)))"
"855155","True","MULTIPOLYGON(((-77.52834681129094 46.2605410411582,-77.9775044533507 46.43953751872483,-77.9775044533507 46.795772360332826,-77.52834681129094 46.97301113617428,-77.07918916923119 46.795772360332826,-77.07918916923119 46.43953751872483,-77.52834681129094 46.2605410411582)))"
"855156","True","MULTIPOLYGON(((-77.52834681129094 47.32573259083572,-77.9775044533507 47.50121581120846,-77.9775044533507 47.850428750131066,-77.52834681129094 48.024159135835944,-77.07918916923119 47.850428750131066,-77.07918916923119 47.50121581120846,-77.52834681129094 47.32573259083572)))"
"855157","True","MULTIPOLYGON(((-77.52834681129094 48.3698695606592,-77.9775044533507 48.54185038840175,-77.9775044533507 48.884065394003045,-77.52834681129094 49.0543004778452,-77.07918916923119 48.884065394003045,-77.07918916923119 48.54185038840175,-77.52834681129094 48.3698695606592)))"
"855158","True","MULTIPOLYGON(((-77.52834681129094 49.3930282153543,-77.9775044533507 49.56152188828269,-77.9775044533507 49.89677152835408,-77.52834681129094 50.06352862398913,-77.07918916923119 49.89677152835408,-77.07918916923119 49.56152188828269,-77.52834681129094 49.3930282153543)))"
"855159","True","MULTIPOLYGON(((-77.52834681129094 50.39531032037834,-77.9775044533507 50.56033615484632,-77.9775044533507 50.88866100833348,-77.52834681129094 51.05196136232246,-77.07918916923119 50.88866100833348,-77.07918916923119 50.56033615484632,-77.52834681129094 50.39531032037834)))"
"855160","True","MULTIPOLYGON(((-77.52834681129094 51.37684138502317,-77.9775044533507 51.538422486042094,-77.9775044533507 51.85987056614272,-77.52834681129094 52.01973907100145,-77.07918916923119 51.85987056614272,-77.07918916923119 51.538422486042094,-77.52834681129094 51.37684138502317)))"
"855161","True","MULTIPOLYGON(((-77.52834681129094 52.33776893795314,-77.9775044533507 52.49593191547987,-77.9775044533507 52.81055810568268,-77.52834681129094 52.96702301969378,-77.07918916923119 52.81055810568268,-77.07918916923119 52.49593191547987,-77.52834681129094 52.33776893795314)))"
"855162","True","MULTIPOLYGON(((-77.52834681129094 53.27826084269948,-77.9775044533507 53.43303553523545,-77.9775044533507 53.74090104049521,-77.52834681129094 53.89399371533502,-77.07918916923119 53.74090104049521,-77.07918916923119 53.43303553523545,-77.52834681129094 53.27826084269948)))"
"855163","True","MULTIPOLYGON(((-77.52834681129094 54.19850365951542,-77.9775044533507 54.34992286598044,-77.9775044533507 54.65109468086872,-77.52834681129094 54.80084929792614,-77.07918916923119 54.65109468086872,-77.07918916923119 54.34992286598044,-77.52834681129094 54.19850365951542)))"
"855164","True","MULTIPOLYGON(((-77.52834681129094 55.098701058943526,-77.9775044533507 55.24680027961811,-77.9775044533507 55.54135067495744,-77.52834681129094 55.68780399105903,-77.07918916923119 55.54135067495744,-77.07918916923119 55.24680027961811,-77.52834681129094 55.098701058943526)))"
"855165","True","MULTIPOLYGON(((-77.52834681129094 57.681282394574936,-77.9775044533507 57.81965799444261,-77.9775044533507 58.09482323759508,-77.52834681129094 58.23161534424471,-77.07918916923119 58.09482323759508,-77.07918916923119 57.81965799444261,-77.52834681129094 57.681282394574936)))"
"855166","True","MULTIPOLYGON(((-77.52834681129094 58.503624741029995,-77.9775044533507 58.63884453781967,-77.9775044533507 58.90772064628476,-77.52834681129094 59.04137950514466,-77.07918916923119 58.90772064628476,-77.07918916923119 58.63884453781967,-77.52834681129094 58.503624741029995)))"
"855167","True","MULTIPOLYGON(((-77.52834681129094 59.307145248161845,-77.9775044533507 59.43925471735169,-77.9775044533507 59.70193335847631,-77.52834681129094 59.83250515068524,-77.07918916923119 59.70193335847631,-77.07918916923119 59.43925471735169,-77.52834681129094 59.307145248161845)))"
"855168","True","MULTIPOLYGON(((-77.52834681129094 60.09212027069717,-77.9775044533507 60.22116625148502,-77.9775044533507 60.47774172561073,-77.52834681129094 60.605273902188486,-77.07918916923119 60.47774172561073,-77.07918916923119 60.22116625148502,-77.52834681129094 60.09212027069717)))"
"855169","True","MULTIPOLYGON(((-77.52834681129094 60.85883387799965,-77.9775044533507 60.98486438834694,-77.9775044533507 61.23543326433037,-77.52834681129094 61.359974366647215,-77.07918916923119 61.23543326433037,-77.07918916923119 60.98486438834694,-77.52834681129094 60.85883387799965)))"
"855171","True","MULTIPOLYGON(((-77.52834681129094 62.33864526623141,-77.9775044533507 62.458792744560206,-77.9775044533507 62.69764551140301,-77.52834681129094 62.816353617243394,-77.07918916923119 62.69764551140301,-77.07918916923119 62.458792744560206,-77.52834681129094 62.33864526623141)))"
"855172","True","MULTIPOLYGON(((-77.07918916923119 45.72003337687708,-77.52834681129094 45.90078910917727,-77.52834681129094 46.2605410411582,-77.07918916923119 46.43953751872483,-76.63003152717141 46.2605410411582,-76.63003152717141 45.90078910917727,-77.07918916923119 45.72003337687708)))"
"855173","True","MULTIPOLYGON(((-77.07918916923119 46.795772360332826,-77.52834681129094 46.97301113617428,-77.52834681129094 47.32573259083572,-77.07918916923119 47.50121581120846,-76.63003152717141 47.32573259083572,-76.63003152717141 46.97301113617428,-77.07918916923119 46.795772360332826)))"
"855174","True","MULTIPOLYGON(((-77.07918916923119 47.850428750131066,-77.52834681129094 48.024159135835944,-77.52834681129094 48.3698695606592,-77.07918916923119 48.54185038840175,-76.63003152717141 48.3698695606592,-76.63003152717141 48.024159135835944,-77.07918916923119 47.850428750131066)))"
"855175","True","MULTIPOLYGON(((-77.07918916923119 48.884065394003045,-77.52834681129094 49.0543004778452,-77.52834681129094 49.3930282153543,-77.07918916923119 49.56152188828269,-76.63003152717141 49.3930282153543,-76.63003152717141 49.0543004778452,-77.07918916923119 48.884065394003045)))"
"855176","True","MULTIPOLYGON(((-77.07918916923119 49.89677152835408,-77.52834681129094 50.06352862398913,-77.52834681129094 50.39531032037834,-77.07918916923119 50.56033615484632,-76.63003152717141 50.39531032037834,-76.63003152717141 50.06352862398913,-77.07918916923119 49.89677152835408)))"
"855177","True","MULTIPOLYGON(((-77.07918916923119 50.88866100833348,-77.52834681129094 51.05196136232246,-77.52834681129094 51.37684138502317,-77.07918916923119 51.538422486042094,-76.63003152717141 51.37684138502317,-76.63003152717141 51.05196136232246,-77.07918916923119 50.88866100833348)))"
"855178","True","MULTIPOLYGON(((-77.07918916923119 51.85987056614272,-77.52834681129094 52.01973907100145,-77.52834681129094 52.33776893795314,-77.07918916923119 52.49593191547987,-76.63003152717141 52.33776893795314,-76.63003152717141 52.01973907100145,-77.07918916923119 51.85987056614272)))"
"855179","True","MULTIPOLYGON(((-77.07918916923119 52.81055810568268,-77.52834681129094 52.96702301969378,-77.52834681129094 53.27826084269948,-77.07918916923119 53.43303553523545,-76.63003152717141 53.27826084269948,-76.63003152717141 52.96702301969378,-77.07918916923119 52.81055810568268)))"
"855180","True","MULTIPOLYGON(((-77.07918916923119 53.74090104049521,-77.52834681129094 53.89399371533502,-77.52834681129094 54.19850365951542,-77.07918916923119 54.34992286598044,-76.63003152717141 54.19850365951542,-76.63003152717141 53.89399371533502,-77.07918916923119 53.74090104049521)))"
"855181","True","MULTIPOLYGON(((-77.07918916923119 54.65109468086872,-77.52834681129094 54.80084929792614,-77.52834681129094 55.098701058943526,-77.07918916923119 55.24680027961811,-76.63003152717141 55.098701058943526,-76.63003152717141 54.80084929792614,-77.07918916923119 54.65109468086872)))"
"855182","True","MULTIPOLYGON(((-77.07918916923119 55.54135067495744,-77.52834681129094 55.68780399105903,-77.52834681129094 55.9790722914612,-77.07918916923119 56.123889478634865,-76.63003152717141 55.9790722914612,-76.63003152717141 55.68780399105903,-77.07918916923119 55.54135067495744)))"
"855183","True","MULTIPOLYGON(((-77.07918916923119 57.26296906137591,-77.52834681129094 57.40293913666191,-77.52834681129094 57.681282394574936,-77.07918916923119 57.81965799444261,-76.63003152717141 57.681282394574936,-76.63003152717141 57.40293913666191,-77.07918916923119 57.26296906137591)))"
"855184","True","MULTIPOLYGON(((-77.07918916923119 58.09482323759508,-77.52834681129094 58.23161534424471,-77.52834681129094 58.503624741029995,-77.07918916923119 58.63884453781967,-76.63003152717141 58.503624741029995,-76.63003152717141 58.23161534424471,-77.07918916923119 58.09482323759508)))"
"855185","True","MULTIPOLYGON(((-77.07918916923119 58.90772064628476,-77.52834681129094 59.04137950514466,-77.52834681129094 59.307145248161845,-77.07918916923119 59.43925471735169,-76.63003152717141 59.307145248161845,-76.63003152717141 59.04137950514466,-77.07918916923119 58.90772064628476)))"
"855186","True","MULTIPOLYGON(((-77.07918916923119 59.70193335847631,-77.52834681129094 59.83250515068524,-77.52834681129094 60.09212027069717,-77.07918916923119 60.22116625148502,-76.63003152717141 60.09212027069717,-76.63003152717141 59.83250515068524,-77.07918916923119 59.70193335847631)))"
"855187","True","MULTIPOLYGON(((-77.07918916923119 60.47774172561073,-77.52834681129094 60.605273902188486,-77.52834681129094 60.85883387799965,-77.07918916923119 60.98486438834694,-76.63003152717141 60.85883387799965,-76.63003152717141 60.605273902188486,-77.07918916923119 60.47774172561073)))"
"855190","True","MULTIPOLYGON(((-76.63003152717141 45.17424592827279,-77.07918916923119 45.35676185632765,-77.07918916923119 45.72003337687708,-76.63003152717141 45.90078910917727,-76.18087388511167 45.72003337687708,-76.18087388511167 45.35676185632765,-76.63003152717141 45.17424592827279)))"
"855191","True","MULTIPOLYGON(((-76.63003152717141 46.2605410411582,-77.07918916923119 46.43953751872483,-77.07918916923119 46.795772360332826,-76.63003152717141 46.97301113617428,-76.18087388511167 46.795772360332826,-76.18087388511167 46.43953751872483,-76.63003152717141 46.2605410411582)))"
"855192","True","MULTIPOLYGON(((-76.63003152717141 47.32573259083572,-77.07918916923119 47.50121581120846,-77.07918916923119 47.850428750131066,-76.63003152717141 48.024159135835944,-76.18087388511167 47.850428750131066,-76.18087388511167 47.50121581120846,-76.63003152717141 47.32573259083572)))"
"855193","True","MULTIPOLYGON(((-76.63003152717141 48.3698695606592,-77.07918916923119 48.54185038840175,-77.07918916923119 48.884065394003045,-76.63003152717141 49.0543004778452,-76.18087388511167 48.884065394003045,-76.18087388511167 48.54185038840175,-76.63003152717141 48.3698695606592)))"
"855194","True","MULTIPOLYGON(((-76.63003152717141 49.3930282153543,-77.07918916923119 49.56152188828269,-77.07918916923119 49.89677152835408,-76.63003152717141 50.06352862398913,-76.18087388511167 49.89677152835408,-76.18087388511167 49.56152188828269,-76.63003152717141 49.3930282153543)))"
"855195","True","MULTIPOLYGON(((-76.63003152717141 50.39531032037834,-77.07918916923119 50.56033615484632,-77.07918916923119 50.88866100833348,-76.63003152717141 51.05196136232246,-76.18087388511167 50.88866100833348,-76.18087388511167 50.56033615484632,-76.63003152717141 50.39531032037834)))"
"855196","True","MULTIPOLYGON(((-76.63003152717141 51.37684138502317,-77.07918916923119 51.538422486042094,-77.07918916923119 51.85987056614272,-76.63003152717141 52.01973907100145,-76.18087388511167 51.85987056614272,-76.18087388511167 51.538422486042094,-76.63003152717141 51.37684138502317)))"
"855197","True","MULTIPOLYGON(((-76.63003152717141 52.33776893795314,-77.07918916923119 52.49593191547987,-77.07918916923119 52.81055810568268,-76.63003152717141 52.96702301969378,-76.18087388511167 52.81055810568268,-76.18087388511167 52.49593191547987,-76.63003152717141 52.33776893795314)))"
"855198","True","MULTIPOLYGON(((-76.63003152717141 53.27826084269948,-77.07918916923119 53.43303553523545,-77.07918916923119 53.74090104049521,-76.63003152717141 53.89399371533502,-76.18087388511167 53.74090104049521,-76.18087388511167 53.43303553523545,-76.63003152717141 53.27826084269948)))"
"855199","True","MULTIPOLYGON(((-76.63003152717141 54.19850365951542,-77.07918916923119 54.34992286598044,-77.07918916923119 54.65109468086872,-76.63003152717141 54.80084929792614,-76.18087388511167 54.65109468086872,-76.18087388511167 54.34992286598044,-76.63003152717141 54.19850365951542)))"
"855200","True","MULTIPOLYGON(((-76.63003152717141 55.098701058943526,-77.07918916923119 55.24680027961811,-77.07918916923119 55.54135067495744,-76.63003152717141 55.68780399105903,-76.18087388511167 55.54135067495744,-76.18087388511167 55.24680027961811,-76.63003152717141 55.098701058943526)))"
"855201","True","MULTIPOLYGON(((-76.63003152717141 55.9790722914612,-77.07918916923119 56.123889478634865,-77.07918916923119 56.41189550781593,-76.63003152717141 56.55508661092018,-76.18087388511167 56.41189550781593,-76.18087388511167 56.123889478634865,-76.63003152717141 55.9790722914612)))"
"855203","True","MULTIPOLYGON(((-76.63003152717141 57.681282394574936,-77.07918916923119 57.81965799444261,-77.07918916923119 58.09482323759508,-76.63003152717141 58.23161534424471,-76.18087388511167 58.09482323759508,-76.18087388511167 57.81965799444261,-76.63003152717141 57.681282394574936)))"
"855204","True","MULTIPOLYGON(((-76.63003152717141 58.503624741029995,-77.07918916923119 58.63884453781967,-77.07918916923119 58.90772064628476,-76.63003152717141 59.04137950514466,-76.18087388511167 58.90772064628476,-76.18087388511167 58.63884453781967,-76.63003152717141 58.503624741029995)))"
"855205","True","MULTIPOLYGON(((-76.63003152717141 59.307145248161845,-77.07918916923119 59.43925471735169,-77.07918916923119 59.70193335847631,-76.63003152717141 59.83250515068524,-76.18087388511167 59.70193335847631,-76.18087388511167 59.43925471735169,-76.63003152717141 59.307145248161845)))"
"855206","True","MULTIPOLYGON(((-76.63003152717141 60.09212027069717,-77.07918916923119 60.22116625148502,-77.07918916923119 60.47774172561073,-76.63003152717141 60.605273902188486,-76.18087388511167 60.47774172561073,-76.18087388511167 60.22116625148502,-76.63003152717141 60.09212027069717)))"
"855210","True","MULTIPOLYGON(((-76.18087388511167 45.72003337687708,-76.63003152717141 45.90078910917727,-76.63003152717141 46.2605410411582,-76.18087388511167 46.43953751872483,-75.73171624305189 46.2605410411582,-75.73171624305189 45.90078910917727,-76.18087388511167 45.72003337687708)))"
"855211","True","MULTIPOLYGON(((-76.18087388511167 46.795772360332826,-76.63003152717141 46.97301113617428,-76.63003152717141 47.32573259083572,-76.18087388511167 47.50121581120846,-75.73171624305189 47.32573259083572,-75.73171624305189 46.97301113617428,-76.18087388511167 46.795772360332826)))"
"855212","True","MULTIPOLYGON(((-76.18087388511167 47.850428750131066,-76.63003152717141 48.024159135835944,-76.63003152717141 48.3698695606592,-76.18087388511167 48.54185038840175,-75.73171624305189 48.3698695606592,-75.73171624305189 48.024159135835944,-76.18087388511167 47.850428750131066)))"
