"geom","min_year","max_year","year_interval","year_count","id"
"POINT(-64.873712 47.473463)",2005,2010,5,"6",15510
"POINT(-84.499722 49.25)",1995,2005,10,"11",9957
"POINT(-56.766309 56.477534)",1978,1991,13,"6",10723
"POINT(-66.75 46.5)",1970,2014,44,"45",12764
"POINT(-72.47958 46.88236)",2016,2021,5,"2",15950
"POINT(-63.728047 47.637685)",1970,1994,24,"25",10172
"POINT(-63.14804 46.23122)",2011,2014,3,"2",15745
"POINT(-68.615921 41.275324)",1963,2005,42,"43",14147
"POINT(-63.446958 46.46855)",2004,2010,6,"7",15391
"POINT(-77.59299 44.01301)",2001,2015,14,"3",13813
"POINT(-82.134735 48.575324)",2002,2004,2,"3",10100
"POINT(-50 43.083333)",2002,2011,9,"10",13440
"POINT(-63.728047 47.637685)",1970,1994,24,"25",10178
"POINT(-77.229936 44.152886)",1992,2018,26,"27",13761
"POINT(-52.121122 50.695322)",1978,1994,16,"5",10924
"POINT(-62.735984 45.290147)",1970,2014,44,"45",12806
"POINT(-69.041914 40.95268)",1967,2014,47,"48",14505
"POINT(-72.82857 45.04889)",2016,2021,5,"3",16080
"POINT(-74.018383 39.10066)",1971,2016,45,"46",14788
"POINT(-65.50048 43.2532)",1970,1980,10,"8",11545
"POINT(-63.758716 46.383956)",2008,2009,1,"2",15715
"POINT(-62.90725 46.058533)",2005,2010,5,"6",15586
"POINT(-69 43)",1967,1989,22,"23",13314
"POINT(-65.50048 43.2532)",1970,1981,11,"12",11790
"POINT(-63.888896 46.512101)",2011,2014,3,"2",15162
"POINT(-59 49.25)",1965,2017,52,"53",14668
"POINT(-68.615921 41.275324)",1970,2016,46,"47",14738
"POINT(-69 43)",1967,1989,22,"23",13187
"POINT(-64.965766 47.341712)",2011,2014,3,"2",15729
"POINT(-50.75978 47.607599)",1970,1994,24,"25",10160
"POINT(-51 49.15)",1980,1996,16,"17",13325
"POINT(-53.75 49.36667)",2000,2003,3,"3",11186
"POINT(-50 43.083333)",2002,2011,9,"10",13437
"POINT(-51.10417 45.91944)",1977,2000,23,"24",11192
"POINT(-64.56477 46.273319)",2011,2014,3,"2",15169
"POINT(-61.56738 44.19795)",1982,1994,12,"13",11977
"POINT(-74.381869 45.160229)",1984,2008,24,"5",13996
"POINT(-74.018383 39.10066)",1968,2011,43,"44",14426
"POINT(-61.56738 44.19795)",1982,1994,12,"13",12615
"POINT(-61.56738 44.19795)",1995,2016,21,"21",11971
"POINT(-71.71751 46.41901)",2018,2020,2,"3",16193
"POINT(-65.50048 43.2532)",1970,1981,11,"12",11523
"POINT(-57.690888 43.437611)",1979,1993,14,"13",10854
"POINT(-63.66575 45.8547)",2004,2010,6,"5",15520
"POINT(-65.50048 43.2532)",1970,1981,11,"12",12555
"POINT(-73.43806 38.53306)",1963,2009,46,"47",14530
"POINT(-77.072526 44.096244)",1992,2018,26,"27",13611
"POINT(-73.43806 38.53306)",1963,2009,46,"47",14670
"POINT(-71.093778 40.671798)",1967,2005,38,"39",14175
"POINT(-49.931212 51.171824)",1983,2011,28,"29",14334
"POINT(-64.657552 47.746584)",2011,2014,3,"2",15500
"POINT(-59.12841 47.47266)",1974,2010,36,"37",14524
"POINT(-61.56738 44.19795)",1970,1981,11,"12",11944
"POINT(-61.1985 45.9668)",1996,1997,1,"2",14056
"POINT(-50.457342 50.936521)",1995,2009,14,"15",14844
"POINT(-65.57426 46.98624)",2011,2014,3,"2",15470
"POINT(-65.029957 47.777114)",2004,2010,6,"7",15417
"POINT(-61.56738 44.19795)",1983,1993,10,"6",12129
"POINT(-49.956886 45.114711)",1970,1985,15,"3",10411
"POINT(-84.52551 50.219196)",2016,2017,1,"2",14990
"POINT(-63.888896 46.512101)",2009,2010,1,"2",15527
"POINT(-68.615921 41.275324)",1950,2007,57,"58",14571
"POINT(-72.47958 46.88236)",2016,2021,5,"2",15924
"POINT(-55.49865 49.00565)",2015,2016,1,"2",11313
"POINT(-64.573724 46.34102)",2004,2010,6,"7",15170
"POINT(-61.56738 44.19795)",1970,1981,11,"12",12273
"POINT(-63 45)",1970,2012,42,"43",12753
"POINT(-79.85068 43.28331)",2006,2015,9,"6",13865
"POINT(-60.3 44.1)",1967,1990,23,"24",13165
"POINT(-64.56477 46.273319)",2007,2010,3,"2",15584
"POINT(-84.499722 49.25)",1995,2006,11,"12",9979
"POINT(-61.56738 44.19795)",1972,1981,9,"6",12339
"POINT(-71.71751 46.41901)",2017,2021,4,"5",15920
"POINT(-50.457342 50.936521)",1993,1994,1,"2",14837
"POINT(-81.87611 45.625)",1950,1983,33,"34",13254
"POINT(-63.739472 45.85055)",2005,2009,4,"5",15078
"POINT(-53.864595 53.910492)",1977,1990,13,"5",10712
"POINT(-65.50048 43.2532)",1995,2016,21,"22",11687
"POINT(-60.3 44.1)",1967,1990,23,"24",13332
"POINT(-70.87637 46.85767)",2016,2020,4,"3",15946
"POINT(-71.093778 40.671798)",1968,2006,38,"39",14127
"POINT(-71.45194 41.43083)",1990,1998,8,"9",13064
"POINT(-53.37158 51.46769)",1979,2011,32,"33",14749
"POINT(-65.50048 43.2532)",1974,1978,4,"2",12639
"POINT(-77.59299 44.01301)",2001,2015,14,"3",13810
"POINT(-65.50048 43.2532)",1995,2016,21,"22",12533
"POINT(-64.573724 46.34102)",2011,2014,3,"2",15679
"POINT(-79.85068 43.28331)",2006,2015,9,"6",13822
"POINT(-61.181309 42.866877)",1977,1993,16,"13",10220
"POINT(-61.181309 42.866877)",1983,1987,4,"3",10895
"POINT(-49.931212 51.171824)",1983,2011,28,"29",14159
"POINT(-76.794435 44.062208)",1992,2018,26,"27",13736
"POINT(-62.511072 46.018891)",2011,2014,3,"2",15293
"POINT(-65.50048 43.2532)",1982,1992,10,"6",11844
"POINT(-61.181309 42.866877)",1979,1990,11,"3",10232
"POINT(-66.11572 44.8247)",1997,2012,15,"16",14633
"POINT(-67 43)",1970,2010,40,"41",14264
"POINT(-57.05 51)",1971,1995,24,"25",13232
"POINT(-73.148804 47.931066)",1965,2013,48,"49",11129
"POINT(-77.229936 44.152886)",1992,2018,26,"27",13607
"POINT(-65.50048 43.2532)",1996,2016,20,"18",12608
"POINT(-74.381869 45.160229)",1984,2018,34,"17",13750
"POINT(-68.615921 41.275324)",1963,2005,42,"43",14122
"POINT(-61.56738 44.19795)",1977,1981,4,"2",11597
"POINT(-61.56738 44.19795)",1982,1994,12,"13",12290
"POINT(-61.56738 44.19795)",1982,1994,12,"13",11568
"POINT(-59.348941 46.441917)",1970,1994,24,"13",10830
"POINT(-65.50048 43.2532)",1982,1994,12,"12",11767
"POINT(-61.56738 44.19795)",1995,2016,21,"22",11425
"POINT(-61.56738 44.19795)",1984,1994,10,"10",11902
"POINT(-84.499722 49.25)",1995,2004,9,"9",9980
"POINT(-56.383301 46.711721)",1984,1995,11,"12",14869
"POINT(-79.85068 43.28331)",2006,2015,9,"6",13828
"POINT(-77.229936 44.152886)",1992,2018,26,"27",13722
"POINT(-59.853639 59.286076)",1978,1988,10,"5",10330
"POINT(-62.067902 49.652037)",1984,1992,8,"4",10946
"POINT(-64.126831 46.773778)",2011,2014,3,"2",15376
"POINT(-63.14804 46.23122)",2011,2014,3,"2",15299
"POINT(-57.690888 43.437611)",1981,1987,6,"4",10392
"POINT(-61.56738 44.19795)",1970,1981,11,"4",12147
"POINT(-74.018383 39.10066)",1975,2005,30,"31",14195
"POINT(-55.731995 54.718454)",1978,1984,6,"7",13029
"POINT(-63.126667 46.235)",1998,1999,1,"2",14981
"POINT(-79.361398 43.62142)",2006,2012,6,"4",13578
"POINT(-61.017433 46.6243)",2011,2014,3,"2",15579
"POINT(-56.383301 46.711721)",1996,2010,14,"14",14890
"POINT(-63.66575 45.8547)",2004,2010,6,"7",15211
"POINT(-82.517801 41.970728)",2002,2003,1,"2",15028
"POINT(-68.615921 41.275324)",1970,2016,46,"47",14766
"POINT(-58.452138 49.69674)",1970,1994,24,"24",10775
"POINT(-77.229936 44.152886)",1992,2018,26,"27",13717
"POINT(-63.421546 46.34346)",2009,2011,2,"3",12934
"POINT(-63.14804 46.23122)",2006,2010,4,"3",15334
"POINT(-79.85068 43.28331)",2014,2015,1,"2",13881
"POINT(-77.72313 43.99472)",2008,2015,7,"2",13841
"POINT(-74.018383 39.10066)",1975,2005,30,"31",14395
"POINT(-65.50048 43.2532)",1982,1993,11,"4",12104
