Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Equisetum arvense,,Plantae,Tracheophyta,Equisetopsida,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,
Mitchella repens L.,L.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mitchella,Mitchella repens,
Potamogeton gramineus Wahlenb.,Wahlenb.,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton gramineus,
Adiantum pedatum Raddi,Raddi,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum pedatum,
Sparganium emersum Rehmann,Rehmann,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Sparganium,Sparganium emersum,
Uvularia grandiflora Sm.,Sm.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Uvularia,Uvularia grandiflora,
Platanthera psycodes (L.) A.Gray,A.Gray (L.),,,,,,,Platanthera psycodes,
Tsuga canadensis,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Tsuga,Tsuga canadensis,
Osmunda cinnamomea L.,L.,,,,,,,Osmunda cinnamomea,
Dryopteris cristata (L.) A. Gray,A. Gray (L.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris cristata,
Lycopodium clavatum,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Lycopodium,Lycopodium clavatum,
Pontederia cordata Larra̱aga,Larra̱aga,Plantae,Tracheophyta,Liliopsida,Commelinales,Pontederiaceae,Pontederia,Pontederia cordata,
Spiranthes romanzoffiana Cham.,Cham.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes romanzoffiana,
Polygonatum pubescens (Willd.) Pursh,Pursh (Willd.),Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Polygonatum,Polygonatum pubescens,
Dryopteris intermedia (Muhl. ex Willd.) A.Gray,A.Gray (Muhl. ex Willd.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris intermedia,
Calamagrostis canadensis (Michx.) Nutt.,Nutt. (Michx.),Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Calamagrostis,Calamagrostis canadensis,
Cystopteris fragilis,,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris,Cystopteris fragilis,
Nuphar variegata Engelm.,Engelm.,,,,,,,Nuphar variegata,
Bromus inermis Leyss.,Leyss.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus inermis,
Salix fragilis L.,L.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix fragilis,
Pteridium aquilinum (L.) Kuhn,Kuhn (L.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dennstaedtiaceae,Pteridium,Pteridium aquilinum,
Calla palustris L.,L.,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Calla,Calla palustris,
Cystopteris bulbifera (L.) Bernh.,Bernh. (L.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris,Cystopteris bulbifera,
Spiranthes cernua Fleisch. & Lindem.,Fleisch. & Lindem.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes cernua,
Lycopodium obscurum L.,L.,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Lycopodium,Lycopodium obscurum,
