Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Coptis groenlandica (Oeder) Fern.,Fern. (Oeder),Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Coptis,Coptis groenlandica,
Senecio vulgaris L.,L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio vulgaris,
Salix alba L.,L.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix alba,
Cornus stolonifera Michx.,Michx.,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus stolonifera,
Populus tremuloides Tidestr.,Tidestr.,,,,,,,Populus tremuloides ,
Rumex obtusifolius Herb.Buch.-Ham. ex Wall.,Herb.Buch.-Ham. ex Wall.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex obtusifolius,
Trifolium agrarium MÃ©rat,MÃ©rat,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium agrarium,
Equisetum pratense Ehrh.,Ehrh.,Plantae,Tracheophyta,Equisetopsida,Equisetales,Equisetaceae,Equisetum,Equisetum pratense,
Agrostis mertensii Trin.,Trin.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Agrostis,Agrostis mertensii,
Cypripedium reginae Walter,Walter,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium,Cypripedium reginae,
Anemone canadensis L.,L.,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,Anemone canadensis,
Sium suave Walter,Walter,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Sium,Sium suave,
Juglans cinerea L.,L.,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans cinerea,
Cirsium arvense (L.) Scop.,Scop. (L.),Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Filago,Cirsium arvense,
Viburnum trilobum Marsh.,Marsh.,,,,,,,Viburnum trilobum,
Viola cucullata Ait.,Ait.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola cucullata,
Geum macrophyllum Willd.,Willd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Geum,Geum macrophyllum,
Angelica atropurpurea L.,L.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica atropurpurea,
Lepidium latifolium L.,L.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium latifolium,
Solidago rugosa Mill.,Mill.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago rugosa,
Empetrum hermaphroditum Hagerup,Hagerup,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Empetrum,Empetrum hermaphroditum,
Carex brunnescens Boeckeler,Boeckeler,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex brunnescens,
Agrimonia striata E.P. Bicknell,E.P. Bicknell,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Agrimonia,Agrimonia striata,
Ulmus americana Planch.,Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus americana,
Polygonum aviculare L.,L.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum aviculare,
Sambucus canadensis M.GÃ³mez,M.GÃ³mez,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,Sambucus canadensis,
Carex stipata Muhl. ex Schkuhr,Muhl. ex Schkuhr,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex stipata,
Juncus filiformis Walter,Walter,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,Juncus filiformis,
Scirpus americanus Pers.,Pers.,,,,,,,Scirpus americanus,
Carex echinata Murray,Murray,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex echinata,
Neottia auriculata (Wiegand) Szlach.,Szlach. (Wiegand),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neottia,Neottia auriculata,
Galearis spectabilis (L.) Raf.,Raf. (L.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galearis,Galearis spectabilis,
Gentiana linearis Froel.,Froel.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,Gentiana linearis,
Oenothera perennis L.,L.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera perennis,
Viola septentrionalis Greene,Greene,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola septentrionalis,
Urtica dioica,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica dioica,
Potentilla argentea,,,,,,,,Potentilla argentea,
Geum canadense Jacq.,Jacq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Geum,Geum canadense,
Potentilla norvegica Bigelow,Bigelow,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla norvegica,
Chimaphila umbellata (L.) DC. ex Hegi,DC. ex Hegi (L.),,,,,,,Chimaphila umbellata,
Solidago altissima Ait.,Ait.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago altissima,
Polygonum persicaria Wahlenb. ex Nyman,Wahlenb. ex Nyman,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum persicaria,
Atriplex patula Sm.,Sm.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex patula,
Gnaphalium sylvaticum Sm.,Sm.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gnaphalium,Gnaphalium sylvaticum,
Barbarea vulgaris Ait. f.,Ait. f.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Barbarea,Barbarea vulgaris,
Betula Ã—glandulosa Berl.,Berl.,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,Betula glandulosa,
Trifolium repens Walter,Walter,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens,
Corylus cornuta Du Roi,Du Roi,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus cornuta,
Carex nigra (L.) Reichard,Reichard (L.),Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex nigra,
Arceuthobium pusillum M.E. Peck,M.E. Peck,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Arceuthobium,Arceuthobium pusillum,
Circaea alpina L.,L.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Circaea,Circaea alpina,
Galearis rotundifolia (Banks ex Pursh) R.M.Bateman,R.M.Bateman (Banks ex Pursh),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galearis,Galearis rotundifolia,
Viola pubescens Ait.,Ait.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola pubescens,
Mitella nuda L.,L.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Mitella,Mitella nuda,
Saururus cernuus Thunb.,Thunb.,,,,,,,Saururus cernuus,
Aster puniceus Torr. & A.Gray,Torr. & A.Gray,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Aster,Aster puniceus,
Juncus effusus Schum. ex Schult.f.,Schum. ex Schult.f.,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,Juncus effusus,
Sanguisorba canadensis Torr. & A.Gray,Torr. & A.Gray,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sanguisorba,Sanguisorba canadensis,
Aquilegia canadensis Hook.,Hook.,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,Aquilegia canadensis,
Melilotus albus Desrousseaux,Desrousseaux,,,,,,,Melilotus albus,
Cypripedium parviflorum Sims,Sims,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium,Cypripedium parviflorum,
Vaccinium oxycoccos,,,,,,,,Vaccinium oxycoccos,
Veronica americana Schwein.,Schwein.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica americana,
Rubus canadensis,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus canadensis,
Botrychium virginianum (L.) Sw.,Sw. (L.),Plantae,Tracheophyta,Psilotopsida,Ophioglossales,Ophioglossaceae,Botrychium,Botrychium virginianum,
Aspidotis densa (Brack.) Lellinger,Lellinger (Brack.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Aspidotis,Aspidotis densa,
Carex crinita Lam.,Lam.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex crinita,
Eriophorum virginicum L.,L.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eriophorum,Eriophorum virginicum,
Kalmia polifolia Wangenh.,Wangenh.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Kalmia,Kalmia polifolia,
Physocarpus opulifolius (L.) Maxim.,Maxim. (L.),Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Physocarpus,Physocarpus opulifolius,
Crataegus grayana Eggleston,Eggleston,,,,,,,Crataegus grayana,
Spiraea tomentosa L.,L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Spiraea,Spiraea tomentosa,
Thalictrum pubescens Pursh,Pursh,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum pubescens,
Ranunculus abortivus L.,L.,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus abortivus,
Apocynum androsaemifolium L.,L.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Apocynum,Apocynum androsaemifolium,
Hypericum ellipticum Hook.,Hook.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,Hypericum ellipticum,
Acer negundo L.,L.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer negundo,
Salix arctica Pall.,Pall.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix arctica,
Dentaria diphylla Michx.,Michx.,,,,,,,Dentaria diphylla,
Capsella bursa-pastoris L.,L.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella,Capsella bursa-pastoris,
Rumex crispus Cham. & Schltdl.,Cham. & Schltdl.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex crispus,
Hordeum jubatum DC.,DC.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Hordeum,Hordeum jubatum,
Solidago squarrosa Muhl.,Muhl.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago squarrosa,
Glyceria canadensis (Michx.) Trin.,Trin. (Michx.),Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Glyceria,Glyceria canadensis,
Scirpus atrovirens Willd.,Willd.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Scirpus,Scirpus atrovirens,
Malaxis monophyllos (L.) Sw.,Sw. (L.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Malaxis,Malaxis monophyllos,
Moneses uniflora (L.) A. Gray,A. Gray (L.),Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Moneses,Moneses uniflora,
Pyrola secunda,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Orthilia,Pyrola secunda,
Viburnum alnifolium Marsh.,Marsh.,,,,,,,Viburnum alnifolium,
Rubus odoratus L.,L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus odoratus,
Acer saccharum Marshall,Marshall,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer saccharum,
Bidens hyperborea Greene,Greene,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens hyperborea,
Aster lateriflorus (L.) Britton,Britton (L.),,,,,,,Aster lateriflorus,
"Amelanchier laevis Clapham, Tutin & E.F.Warb.","Clapham, Tutin & E.F.Warb.",Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier laevis,
Trifolium hybridum E.H.L.Krause,E.H.L.Krause,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium hybridum,
Aronia arbutifolia (L.) Elliott,Elliott (L.),,,,,,,Aronia arbutifolia,
Lathyrus palustris Lang ex Ten.,Lang ex Ten.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus palustris,
Bromus ciliatus Muhl.,Muhl.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus ciliatus,
Nemopanthus mucronatus Druce,Druce,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Nemopanthus,Nemopanthus mucronatus,
Isoetes echinospora,,Plantae,Tracheophyta,Lycopodiopsida,Isoetales,Isoetaceae,Isoetes,Isoetes echinospora,
Danthonia spicata (L.) Roem. & Schult.,Roem. & Schult. (L.),Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Danthonia,Danthonia spicata,
Scirpus hattorianus Makino,Makino,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Scirpus,Scirpus hattorianus,
Carex lurida Wahlenb.,Wahlenb.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex lurida,
Carex pallescens L.,L.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex pallescens,
Fagus grandifolia Ehrh.,Ehrh.,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus grandifolia,
Vaccinium uliginosum,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium uliginosum,
Aralia hispida Vent.,Vent.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,Aralia hispida,
Rudbeckia laciniata L.,L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rudbeckia,Rudbeckia laciniata,
Symphyotrichum pilosum (Willd.) G.L.Nesom,G.L.Nesom (Willd.),Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum pilosum,
Vaccinium gaultherioides Bigel.,Bigel.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium gaultherioides,
Lathyrus pratensis L.,L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus pratensis,
Salix petiolaris Sm.,Sm.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix petiolaris,
Salix pyrifolia Anderss.,Anderss.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix pyrifolia,
Solidago nemoralis Aiton,Aiton,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago nemoralis,
Viburnum cassinoides Willd.,Willd.,,,,,,,Viburnum cassinoides,
Sorbus americana Marsh,Marsh,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sorbus,Sorbus americana,
Leontodon autumnalis Oed.,Oed.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Leontodon,Leontodon autumnalis,
Potamogeton crispus Darl.,Darl.,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton crispus,
Ranunculus repens Watson,Watson,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus repens,
Carex vulpinoidea Torr.,Torr.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex vulpinoidea,
Mentha canadensis,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Mentha canadensis,
Phleum pratense,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phleum,Phleum pratense,
Andropogon gerardii Vitman,Vitman,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Andropogon,Andropogon gerardii,
Eleocharis obtusa (Willd.) Schult.,Schult. (Willd.),Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eleocharis,Eleocharis obtusa,
Acorus americanus (Raf.) Raf.,Raf. (Raf.),,,,,,,Acorus americanus,
Empetrum nigrum,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Empetrum,Empetrum nigrum,
Oxalis stricta L.,L.,,,,,,,Oxalis stricta,
Impatiens capensis Meerb.,Meerb.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens capensis,
Calystegia sepium (L.) R. Br.,R. Br. (L.),Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Calystegia,Calystegia sepium,
Medicago sativa,,,,,,,,Medicago sativa,
Vicia sepium L.,L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sepium,
Agrimonia gryposepala Wallr.,Wallr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Agrimonia,Agrimonia gryposepala,
Crataegus canadensis Sarg.,Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus canadensis,
Populus balsamifera L.,L.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus balsamifera,
Matricaria matricarioides (Less.) Porter,Porter (Less.),Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,Matricaria matricarioides,
Rudbeckia hirta L.,L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rudbeckia,Rudbeckia hirta,
Elodea nuttallii (Planch.) H.St.John,H.St.John (Planch.),Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Elodea,Elodea nuttallii,
Myriophyllum verticillatum L.,L.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum verticillatum,
Potentilla palustris (L.) Scop.,Scop. (L.),Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Comarum,Potentilla palustris,
Hippuris vulgaris L.,L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Hippuris,Hippuris vulgaris,
Silene cucubalus Wibel,Wibel,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene cucubalus,
Antennaria howellii Greene,Greene,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria howellii,
Solidago macrophylla Banks ex Pursh,Banks ex Pursh,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago macrophylla,
Gnaphalium uliginosum C.B.Clarke,C.B.Clarke,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gnaphalium,Gnaphalium uliginosum,
Atriplex prostrata Bouch.,Bouch.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex prostrata,
"Ostrya virginiana Britton, Sterns & Poggenb.","Britton, Sterns & Poggenb.",Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Ostrya,Ostrya virginiana,
Asplenium platyneuron (L.) Oakes,Oakes (L.),,,,,,,Asplenium platyneuron,
Juncus articulatus DC.,DC.,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,Juncus articulatus,
Arrhenatherum elatius P.Beauv.,P.Beauv.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arrhenatherum,Arrhenatherum elatius,
Vaccinium myrtilloides Hook.,Hook.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium myrtilloides,
Chiogenes hispidula Baill.,Baill.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Chiogenes,Chiogenes hispidula,
Epilobium ciliatum Raf.,Raf.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium,Epilobium ciliatum,
Carex interior L.H.Bailey,L.H.Bailey,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex interior,
Vaccinium caespitosum Michx.,Michx.,,,,,,,Vaccinium caespitosum,
Dalibarda repens L.,L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Dalibarda,Dalibarda repens,
Thalictrum dioicum L.,L.,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum dioicum,
Hesperis matronalis L.,L.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Hesperis,Hesperis matronalis,
Thlaspi arvense L.,L.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Sinapis,Thlaspi arvense,
Claytonia caroliniana Michx.,Michx.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Claytonia,Claytonia caroliniana,
Epifagus virginiana (L.) Bart.,Bart. (L.),Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Epifagus,Epifagus virginiana,
Plantago lanceolata,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago lanceolata,
Oenothera ersteinensis Linder & Jean,Linder & Jean,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera ersteinensis,
Potamogeton friesii Rupr.,Rupr.,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton friesii,
Geum aleppicum Jacq.,Jacq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Geum,Geum aleppicum,
Salix humilis Marsh.,Marsh.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix humilis,
Ilex verticillata (L.) A. Gray,A. Gray (L.),Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex verticillata,
Pyrola asarifolia Radius,Radius,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Pyrola,Pyrola asarifolia,
Cardamine pensylvanica Muhl. ex Willd.,Muhl. ex Willd.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine pensylvanica,
Echium vulgare Bourg. ex Reut,Bourg. ex Reut,,,,,,,Echium vulgare,
Panicum capillare F.Muell.,F.Muell.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum capillare,
Deschampsia flexuosa (L.) Nees,Nees (L.),,,,,,,Deschampsia flexuosa,
Cornus alternifolia Hort. ex LavallÃ©e,Hort. ex LavallÃ©e,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus alternifolia,
Geranium pratense Y.J. Nasir,Y.J. Nasir,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium pratense,
Andropogon scoparius Michx.,Michx.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Schizachyrium,Andropogon scoparius,
Ribes triste Bunge,Bunge,,,,,,,Ribes triste,
Carex pedunculata Willd. ex Roxb.,Willd. ex Roxb.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex pedunculata,
Hieracium vulgatum,,,,,,,,Hieracium vulgatum,
Silene vulgaris (Moench) Garcke,Garcke (Moench),Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene vulgaris,
Calamagrostis canadensis (Michx.) P.Beauv.,P.Beauv. (Michx.),Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Calamagrostis,Calamagrostis canadensis,
Platanthera flava (L.) Lindl.,Lindl. (L.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera flava,
Spiranthes lucida (H.H.Eaton) Ames,Ames (H.H.Eaton),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes lucida,
Rhododendron canadense (L.) Torr.,Torr. (L.),,,,,,,Rhododendron canadense ,
Lithospermum officinale L.,L.,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum officinale,
Medicago lupulina L.,L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago lupulina,
Apios americana Medik.,Medik.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Apios,Apios americana,
Ribes lacustre (Pers.) Poir.,Poir. (Pers.),Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,Ribes lacustre,
Sorbus decora (Sarg.) Schneid.,Schneid. (Sarg.),Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sorbus,Sorbus decora,
Carum carvi L.,L.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Carum,Carum carvi,
Lactuca biennis (Moench) Fernald,Fernald (Moench),Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca biennis,
Oenothera parviflora,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera parviflora,
Cuscuta campestris Yunck.,Yunck.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta campestris,
Viola sororia Willd.,Willd.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola sororia,
Cicuta bulbifera L.,L.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Cicuta,Cicuta bulbifera,
Solidago uliginosa Nutt.,Nutt.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago uliginosa,
Glaux maritima L.,L.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Glaux,Glaux maritima,
Juncus bufonius L.,L.,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,Juncus bufonius,
Achillea ptarmica Richards.,Richards.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea ptarmica,
Rubus,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus,
Erigeron pulchellus Turcz.,Turcz.,,,,,,,Erigeron pulchellus,
Adiantum aleuticum (Rupr.) Parris,Parris (Rupr.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum aleuticum,
Polygonatum multiflorum Kunth,Kunth,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Polygonatum,Polygonatum multiflorum,
Carex bebbii Olney,Olney,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex bebbii,
Asclepias syriaca Blanco,Blanco,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias syriaca,
Ambrosia artemisiifolia L.,L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,
Melilotus officinalis (L.) Lam.,Lam. (L.),Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Melilotus,Melilotus officinalis,
