"id","source_name","source_id","source_record_id","scientific_name","authorship","rank","valid","valid_srid","classification_srids","created_at","modified_at","modified_by"
286848,"ITIS","3","657463","Oecanthidae",NULL,"family",True,"657463","{202423,914154,914155,914158,82696,563886,99208,100500,563890,914215,102160,102231,657452,650501,657463}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
207041,"ITIS","3","16760","Dicranaceae",NULL,"family",True,"16760","{202422,954898,846494,954900,14189,15754,846144,16759,16760}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
188746,"Catalogue of Life","1","7NFWV","Amphiuridae",NULL,"family",True,"7NFWV","{5T6MX,N,CHN,7NF2N,FH,8FZ2N,844GG,844GL,7NFX3,7NFHK,7NGGC,7NFWV}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
181658,"Catalogue of Life","1","83W","Chiasmodontidae",NULL,"family",True,"83W","{5T6MX,N,CH2,CT,PC,83W}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
207218,"GBIF Backbone Taxonomy","11","3105","Equisetaceae",NULL,"family",True,"3105","{6,7707728,7228684,954,3105}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
278474,"GBIF Backbone Taxonomy","11","7912","Mutillidae",NULL,"family",True,"7912","{1,54,216,1457,7912}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
188778,"GBIF Backbone Taxonomy","11","2010","Priapulidae",NULL,"family",True,"2010","{1,5963150,10513570,2010,2501341}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
251321,"GBIF Backbone Taxonomy","11","8377","Collemataceae",NULL,"family",True,"8377","{5,95,180,1055,8377}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
204373,"ITIS","3","89681","Archaeobalanidae",NULL,"family",True,"89681","{202423,914154,914155,914158,82696,83677,621145,621146,89433,89434,621154,89589,621174,89681}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
295836,"ITIS","3","102382","Stenopelmatidae",NULL,"family",True,"102382","{202423,914154,914155,914158,82696,563886,99208,100500,563890,914215,102160,102231,657453,657455,102382}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
182888,"GBIF Backbone Taxonomy","11","8597","Serranidae",NULL,"family",True,"8597","{1,44,204,587,8597}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
184409,"ITIS","3","70797","Rissoidae",NULL,"family",True,"70797","{202423,914154,914155,914159,69458,69459,566851,70797}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
233460,"Catalogue of Life","1","GKG","Splachnaceae",NULL,"family",True,"GKG","{5T6MX,P,BRY,8K,38Q,GKG}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
155760,"Catalogue of Life","1","622GL","Bombycillidae",NULL,"family",True,"622GL","{5T6MX,N,CH2,V2,3RL,622GL}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
278940,"ITIS","3","871532","Oxyopidae",NULL,"family",True,"871532","{202423,914154,914155,914158,82696,82697,1117839,1117840,82732,871532}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
259647,"Catalogue of Life","1","7QF","Carcharhinidae",NULL,"family",True,"7QF","{5T6MX,N,CH2,LB,VL,7QF}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
286670,"ITIS","3","108628","Pentatomidae",NULL,"family",True,"108628","{202423,914154,914155,914158,82696,563886,99208,100500,563890,914214,103359,103358,107475,676848,108628}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
192758,"ITIS","3","73532","Columbellidae",NULL,"family",True,"73532","{202423,914154,914155,914159,69458,69459,78780,73228,73532}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
163837,"Catalogue of Life","1","6244Z","Fregatidae",NULL,"family",True,"6244Z","{5T6MX,N,CH2,V2,46J,6244Z}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
293936,"GBIF Backbone Taxonomy","11","6650","Pedaliaceae",NULL,"family",True,"6650","{6,7707728,220,408,6650}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
283262,"GBIF Backbone Taxonomy","11","8389","Coccocarpiaceae",NULL,"family",True,"8389","{5,95,180,1055,8389}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
178312,"GBIF Backbone Taxonomy","11","6978","Macrouridae",NULL,"family",True,"6978","{1,44,204,549,6978}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
251360,"ITIS","3","14034","Teloschistaceae",NULL,"family",True,"14034","{555705,936287,610624,610625,610630,936329,936364,14034}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
201466,"GBIF Backbone Taxonomy","11","8002","Lysianassidae",NULL,"family",True,"8002","{1,54,229,1231,8002}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
193149,"ITIS","3","180415","Delphinidae",NULL,"family",True,"180415","{202423,914154,914156,158852,331030,914179,914181,179913,179916,179925,180403,180404,180415}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
154651,"GBIF Backbone Taxonomy","11","5290","Turdidae",NULL,"family",True,"5290","{1,44,212,729,5290}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
274759,"Catalogue of Life","1","6247J","Geometridae",NULL,"family",True,"6247J","{5T6MX,N,RT,H6,LP,626YP,6247J}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
250127,"ITIS","3","191810","Umbilicariaceae",NULL,"family",True,"191810","{555705,936287,610624,610625,610630,936359,191810}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
177954,"ITIS","3","168789","Coryphaenidae",NULL,"family",True,"168789","{202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168789}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
257702,"GBIF Backbone Taxonomy","11","9680","Odobenidae",NULL,"family",True,"9680","{1,44,359,732,9680}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
176874,"GBIF Backbone Taxonomy","11","5652","Crisiidae",NULL,"family",True,"5652","{1,53,226,1497,5652}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
166858,"VASCAN","147","208","Rubiaceae",NULL,"family",True,"208","{73,8,4,30,208}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
161989,"ITIS","3","176790","Stercorariidae",NULL,"family",True,"176790","{202423,914154,914156,158852,331030,914179,914181,174371,176445,176790}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
154643,"ITIS","3","179751","Turdidae",NULL,"family",True,"179751","{202423,914154,914156,158852,331030,914179,914181,174371,178265,179751}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
207000,"Catalogue of Life","1","8W5","Cyperaceae",NULL,"family",True,"8W5","{5T6MX,P,TP,L2L,627VM,8W5}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
155533,"GBIF Backbone Taxonomy","11","5789066","Polioptilidae",NULL,"family",True,"5789066","{1,44,212,729,5789066}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
188827,"ITIS","3","159227","Styelidae",NULL,"family",True,"159227","{202423,914154,914156,158852,158853,158854,159224,159225,159227}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
178221,"ITIS","3","166704","Scorpaenidae",NULL,"family",True,"166704","{202423,914154,914156,158852,331030,914179,161061,161105,166082,166702,166703,166704}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
