"obs_count","taxa_count","fid","within_quebec","geom"
305,45,855112,True,"MULTIPOLYGON(((-79.32497737953 50.39531032037834,-79.77413502158974 50.56033615484632,-79.77413502158974 50.88866100833348,-79.32497737953 51.05196136232246,-78.87581973747022 50.88866100833348,-78.87581973747022 50.56033615484632,-79.32497737953 50.39531032037834)))"
2055,182,855113,True,"MULTIPOLYGON(((-79.32497737953 51.37684138502317,-79.77413502158974 51.538422486042094,-79.77413502158974 51.85987056614272,-79.32497737953 52.01973907100145,-78.87581973747022 51.85987056614272,-78.87581973747022 51.538422486042094,-79.32497737953 51.37684138502317)))"
195,92,855115,True,"MULTIPOLYGON(((-79.32497737953 53.27826084269948,-79.77413502158974 53.43303553523545,-79.77413502158974 53.74090104049521,-79.32497737953 53.89399371533502,-78.87581973747022 53.74090104049521,-78.87581973747022 53.43303553523545,-79.32497737953 53.27826084269948)))"
114,43,855116,True,"MULTIPOLYGON(((-79.32497737953 54.19850365951542,-79.77413502158974 54.34992286598044,-79.77413502158974 54.65109468086872,-79.32497737953 54.80084929792614,-78.87581973747022 54.65109468086872,-78.87581973747022 54.34992286598044,-79.32497737953 54.19850365951542)))"
594,53,855117,True,"MULTIPOLYGON(((-78.87581973747022 45.72003337687708,-79.32497737953 45.90078910917727,-79.32497737953 46.2605410411582,-78.87581973747022 46.43953751872483,-78.42666209541048 46.2605410411582,-78.42666209541048 45.90078910917727,-78.87581973747022 45.72003337687708)))"
58904,355,855118,True,"MULTIPOLYGON(((-78.87581973747022 46.795772360332826,-79.32497737953 46.97301113617428,-79.32497737953 47.32573259083572,-78.87581973747022 47.50121581120846,-78.42666209541048 47.32573259083572,-78.42666209541048 46.97301113617428,-78.87581973747022 46.795772360332826)))"
223473,660,855119,True,"MULTIPOLYGON(((-78.87581973747022 47.850428750131066,-79.32497737953 48.024159135835944,-79.32497737953 48.3698695606592,-78.87581973747022 48.54185038840175,-78.42666209541048 48.3698695606592,-78.42666209541048 48.024159135835944,-78.87581973747022 47.850428750131066)))"
29121,308,855120,True,"MULTIPOLYGON(((-78.87581973747022 48.884065394003045,-79.32497737953 49.0543004778452,-79.32497737953 49.3930282153543,-78.87581973747022 49.56152188828269,-78.42666209541048 49.3930282153543,-78.42666209541048 49.0543004778452,-78.87581973747022 48.884065394003045)))"
4959,192,855121,True,"MULTIPOLYGON(((-78.87581973747022 49.89677152835408,-79.32497737953 50.06352862398913,-79.32497737953 50.39531032037834,-78.87581973747022 50.56033615484632,-78.42666209541048 50.39531032037834,-78.42666209541048 50.06352862398913,-78.87581973747022 49.89677152835408)))"
3680,253,855122,True,"MULTIPOLYGON(((-78.87581973747022 50.88866100833348,-79.32497737953 51.05196136232246,-79.32497737953 51.37684138502317,-78.87581973747022 51.538422486042094,-78.42666209541048 51.37684138502317,-78.42666209541048 51.05196136232246,-78.87581973747022 50.88866100833348)))"
1329,147,855123,True,"MULTIPOLYGON(((-78.87581973747022 51.85987056614272,-79.32497737953 52.01973907100145,-79.32497737953 52.33776893795314,-78.87581973747022 52.49593191547987,-78.42666209541048 52.33776893795314,-78.42666209541048 52.01973907100145,-78.87581973747022 51.85987056614272)))"
1109,170,855124,True,"MULTIPOLYGON(((-78.87581973747022 52.81055810568268,-79.32497737953 52.96702301969378,-79.32497737953 53.27826084269948,-78.87581973747022 53.43303553523545,-78.42666209541048 53.27826084269948,-78.42666209541048 52.96702301969378,-78.87581973747022 52.81055810568268)))"
1973,190,855125,True,"MULTIPOLYGON(((-78.87581973747022 53.74090104049521,-79.32497737953 53.89399371533502,-79.32497737953 54.19850365951542,-78.87581973747022 54.34992286598044,-78.42666209541048 54.19850365951542,-78.42666209541048 53.89399371533502,-78.87581973747022 53.74090104049521)))"
128,32,855126,True,"MULTIPOLYGON(((-78.87581973747022 54.65109468086872,-79.32497737953 54.80084929792614,-79.32497737953 55.098701058943526,-78.87581973747022 55.24680027961811,-78.42666209541048 55.098701058943526,-78.42666209541048 54.80084929792614,-78.87581973747022 54.65109468086872)))"
52972,211,855127,True,"MULTIPOLYGON(((-78.42666209541048 46.2605410411582,-78.87581973747022 46.43953751872483,-78.87581973747022 46.795772360332826,-78.42666209541048 46.97301113617428,-77.9775044533507 46.795772360332826,-77.9775044533507 46.43953751872483,-78.42666209541048 46.2605410411582)))"
30080,219,855128,True,"MULTIPOLYGON(((-78.42666209541048 47.32573259083572,-78.87581973747022 47.50121581120846,-78.87581973747022 47.850428750131066,-78.42666209541048 48.024159135835944,-77.9775044533507 47.850428750131066,-77.9775044533507 47.50121581120846,-78.42666209541048 47.32573259083572)))"
77203,424,855129,True,"MULTIPOLYGON(((-78.42666209541048 48.3698695606592,-78.87581973747022 48.54185038840175,-78.87581973747022 48.884065394003045,-78.42666209541048 49.0543004778452,-77.9775044533507 48.884065394003045,-77.9775044533507 48.54185038840175,-78.42666209541048 48.3698695606592)))"
10398,238,855130,True,"MULTIPOLYGON(((-78.42666209541048 49.3930282153543,-78.87581973747022 49.56152188828269,-78.87581973747022 49.89677152835408,-78.42666209541048 50.06352862398913,-77.9775044533507 49.89677152835408,-77.9775044533507 49.56152188828269,-78.42666209541048 49.3930282153543)))"
488,67,855131,True,"MULTIPOLYGON(((-78.42666209541048 50.39531032037834,-78.87581973747022 50.56033615484632,-78.87581973747022 50.88866100833348,-78.42666209541048 51.05196136232246,-77.9775044533507 50.88866100833348,-77.9775044533507 50.56033615484632,-78.42666209541048 50.39531032037834)))"
1679,197,855132,True,"MULTIPOLYGON(((-78.42666209541048 51.37684138502317,-78.87581973747022 51.538422486042094,-78.87581973747022 51.85987056614272,-78.42666209541048 52.01973907100145,-77.9775044533507 51.85987056614272,-77.9775044533507 51.538422486042094,-78.42666209541048 51.37684138502317)))"
667,128,855133,True,"MULTIPOLYGON(((-78.42666209541048 52.33776893795314,-78.87581973747022 52.49593191547987,-78.87581973747022 52.81055810568268,-78.42666209541048 52.96702301969378,-77.9775044533507 52.81055810568268,-77.9775044533507 52.49593191547987,-78.42666209541048 52.33776893795314)))"
1993,189,855134,True,"MULTIPOLYGON(((-78.42666209541048 53.27826084269948,-78.87581973747022 53.43303553523545,-78.87581973747022 53.74090104049521,-78.42666209541048 53.89399371533502,-77.9775044533507 53.74090104049521,-77.9775044533507 53.43303553523545,-78.42666209541048 53.27826084269948)))"
108,21,855135,True,"MULTIPOLYGON(((-78.42666209541048 54.19850365951542,-78.87581973747022 54.34992286598044,-78.87581973747022 54.65109468086872,-78.42666209541048 54.80084929792614,-77.9775044533507 54.65109468086872,-77.9775044533507 54.34992286598044,-78.42666209541048 54.19850365951542)))"
147,48,855136,True,"MULTIPOLYGON(((-78.42666209541048 58.503624741029995,-78.87581973747022 58.63884453781967,-78.87581973747022 58.90772064628476,-78.42666209541048 59.04137950514466,-77.9775044533507 58.90772064628476,-77.9775044533507 58.63884453781967,-78.42666209541048 58.503624741029995)))"
15463,204,855139,True,"MULTIPOLYGON(((-77.9775044533507 45.72003337687708,-78.42666209541048 45.90078910917727,-78.42666209541048 46.2605410411582,-77.9775044533507 46.43953751872483,-77.52834681129094 46.2605410411582,-77.52834681129094 45.90078910917727,-77.9775044533507 45.72003337687708)))"
31481,154,855140,True,"MULTIPOLYGON(((-77.9775044533507 46.795772360332826,-78.42666209541048 46.97301113617428,-78.42666209541048 47.32573259083572,-77.9775044533507 47.50121581120846,-77.52834681129094 47.32573259083572,-77.52834681129094 46.97301113617428,-77.9775044533507 46.795772360332826)))"
130207,457,855141,True,"MULTIPOLYGON(((-77.9775044533507 47.850428750131066,-78.42666209541048 48.024159135835944,-78.42666209541048 48.3698695606592,-77.9775044533507 48.54185038840175,-77.52834681129094 48.3698695606592,-77.52834681129094 48.024159135835944,-77.9775044533507 47.850428750131066)))"
21713,238,855142,True,"MULTIPOLYGON(((-77.9775044533507 48.884065394003045,-78.42666209541048 49.0543004778452,-78.42666209541048 49.3930282153543,-77.9775044533507 49.56152188828269,-77.52834681129094 49.3930282153543,-77.52834681129094 49.0543004778452,-77.9775044533507 48.884065394003045)))"
2528,144,855143,True,"MULTIPOLYGON(((-77.9775044533507 49.89677152835408,-78.42666209541048 50.06352862398913,-78.42666209541048 50.39531032037834,-77.9775044533507 50.56033615484632,-77.52834681129094 50.39531032037834,-77.52834681129094 50.06352862398913,-77.9775044533507 49.89677152835408)))"
1788,161,855144,True,"MULTIPOLYGON(((-77.9775044533507 50.88866100833348,-78.42666209541048 51.05196136232246,-78.42666209541048 51.37684138502317,-77.9775044533507 51.538422486042094,-77.52834681129094 51.37684138502317,-77.52834681129094 51.05196136232246,-77.9775044533507 50.88866100833348)))"
1251,136,855145,True,"MULTIPOLYGON(((-77.9775044533507 51.85987056614272,-78.42666209541048 52.01973907100145,-78.42666209541048 52.33776893795314,-77.9775044533507 52.49593191547987,-77.52834681129094 52.33776893795314,-77.52834681129094 52.01973907100145,-77.9775044533507 51.85987056614272)))"
1027,112,855146,True,"MULTIPOLYGON(((-77.9775044533507 52.81055810568268,-78.42666209541048 52.96702301969378,-78.42666209541048 53.27826084269948,-77.9775044533507 53.43303553523545,-77.52834681129094 53.27826084269948,-77.52834681129094 52.96702301969378,-77.9775044533507 52.81055810568268)))"
92,26,855147,True,"MULTIPOLYGON(((-77.9775044533507 53.74090104049521,-78.42666209541048 53.89399371533502,-78.42666209541048 54.19850365951542,-77.9775044533507 54.34992286598044,-77.52834681129094 54.19850365951542,-77.52834681129094 53.89399371533502,-77.9775044533507 53.74090104049521)))"
144,51,855148,True,"MULTIPOLYGON(((-77.9775044533507 54.65109468086872,-78.42666209541048 54.80084929792614,-78.42666209541048 55.098701058943526,-77.9775044533507 55.24680027961811,-77.52834681129094 55.098701058943526,-77.52834681129094 54.80084929792614,-77.9775044533507 54.65109468086872)))"
1841,146,855149,True,"MULTIPOLYGON(((-77.9775044533507 58.09482323759508,-78.42666209541048 58.23161534424471,-78.42666209541048 58.503624741029995,-77.9775044533507 58.63884453781967,-77.52834681129094 58.503624741029995,-77.52834681129094 58.23161534424471,-77.9775044533507 58.09482323759508)))"
615,136,855150,True,"MULTIPOLYGON(((-77.9775044533507 58.90772064628476,-78.42666209541048 59.04137950514466,-78.42666209541048 59.307145248161845,-77.9775044533507 59.43925471735169,-77.52834681129094 59.307145248161845,-77.52834681129094 59.04137950514466,-77.9775044533507 58.90772064628476)))"
173,58,855152,True,"MULTIPOLYGON(((-77.9775044533507 60.47774172561073,-78.42666209541048 60.605273902188486,-78.42666209541048 60.85883387799965,-77.9775044533507 60.98486438834694,-77.52834681129094 60.85883387799965,-77.52834681129094 60.605273902188486,-77.9775044533507 60.47774172561073)))"
238,35,855154,True,"MULTIPOLYGON(((-77.9775044533507 61.97530160621213,-78.42666209541048 62.096901097190106,-78.42666209541048 62.33864526623141,-77.9775044533507 62.458792744560206,-77.52834681129094 62.33864526623141,-77.52834681129094 62.096901097190106,-77.9775044533507 61.97530160621213)))"
66325,252,855155,True,"MULTIPOLYGON(((-77.52834681129094 46.2605410411582,-77.9775044533507 46.43953751872483,-77.9775044533507 46.795772360332826,-77.52834681129094 46.97301113617428,-77.07918916923119 46.795772360332826,-77.07918916923119 46.43953751872483,-77.52834681129094 46.2605410411582)))"
18310,225,855156,True,"MULTIPOLYGON(((-77.52834681129094 47.32573259083572,-77.9775044533507 47.50121581120846,-77.9775044533507 47.850428750131066,-77.52834681129094 48.024159135835944,-77.07918916923119 47.850428750131066,-77.07918916923119 47.50121581120846,-77.52834681129094 47.32573259083572)))"
33178,301,855157,True,"MULTIPOLYGON(((-77.52834681129094 48.3698695606592,-77.9775044533507 48.54185038840175,-77.9775044533507 48.884065394003045,-77.52834681129094 49.0543004778452,-77.07918916923119 48.884065394003045,-77.07918916923119 48.54185038840175,-77.52834681129094 48.3698695606592)))"
9203,243,855158,True,"MULTIPOLYGON(((-77.52834681129094 49.3930282153543,-77.9775044533507 49.56152188828269,-77.9775044533507 49.89677152835408,-77.52834681129094 50.06352862398913,-77.07918916923119 49.89677152835408,-77.07918916923119 49.56152188828269,-77.52834681129094 49.3930282153543)))"
3823,175,855159,True,"MULTIPOLYGON(((-77.52834681129094 50.39531032037834,-77.9775044533507 50.56033615484632,-77.9775044533507 50.88866100833348,-77.52834681129094 51.05196136232246,-77.07918916923119 50.88866100833348,-77.07918916923119 50.56033615484632,-77.52834681129094 50.39531032037834)))"
1508,138,855160,True,"MULTIPOLYGON(((-77.52834681129094 51.37684138502317,-77.9775044533507 51.538422486042094,-77.9775044533507 51.85987056614272,-77.52834681129094 52.01973907100145,-77.07918916923119 51.85987056614272,-77.07918916923119 51.538422486042094,-77.52834681129094 51.37684138502317)))"
1085,110,855161,True,"MULTIPOLYGON(((-77.52834681129094 52.33776893795314,-77.9775044533507 52.49593191547987,-77.9775044533507 52.81055810568268,-77.52834681129094 52.96702301969378,-77.07918916923119 52.81055810568268,-77.07918916923119 52.49593191547987,-77.52834681129094 52.33776893795314)))"
3717,200,855162,True,"MULTIPOLYGON(((-77.52834681129094 53.27826084269948,-77.9775044533507 53.43303553523545,-77.9775044533507 53.74090104049521,-77.52834681129094 53.89399371533502,-77.07918916923119 53.74090104049521,-77.07918916923119 53.43303553523545,-77.52834681129094 53.27826084269948)))"
265,32,855163,True,"MULTIPOLYGON(((-77.52834681129094 54.19850365951542,-77.9775044533507 54.34992286598044,-77.9775044533507 54.65109468086872,-77.52834681129094 54.80084929792614,-77.07918916923119 54.65109468086872,-77.07918916923119 54.34992286598044,-77.52834681129094 54.19850365951542)))"
476,107,855164,True,"MULTIPOLYGON(((-77.52834681129094 55.098701058943526,-77.9775044533507 55.24680027961811,-77.9775044533507 55.54135067495744,-77.52834681129094 55.68780399105903,-77.07918916923119 55.54135067495744,-77.07918916923119 55.24680027961811,-77.52834681129094 55.098701058943526)))"
89,31,855165,True,"MULTIPOLYGON(((-77.52834681129094 57.681282394574936,-77.9775044533507 57.81965799444261,-77.9775044533507 58.09482323759508,-77.52834681129094 58.23161534424471,-77.07918916923119 58.09482323759508,-77.07918916923119 57.81965799444261,-77.52834681129094 57.681282394574936)))"
124,34,855166,True,"MULTIPOLYGON(((-77.52834681129094 58.503624741029995,-77.9775044533507 58.63884453781967,-77.9775044533507 58.90772064628476,-77.52834681129094 59.04137950514466,-77.07918916923119 58.90772064628476,-77.07918916923119 58.63884453781967,-77.52834681129094 58.503624741029995)))"
799,137,855167,True,"MULTIPOLYGON(((-77.52834681129094 59.307145248161845,-77.9775044533507 59.43925471735169,-77.9775044533507 59.70193335847631,-77.52834681129094 59.83250515068524,-77.07918916923119 59.70193335847631,-77.07918916923119 59.43925471735169,-77.52834681129094 59.307145248161845)))"
516,127,855168,True,"MULTIPOLYGON(((-77.52834681129094 60.09212027069717,-77.9775044533507 60.22116625148502,-77.9775044533507 60.47774172561073,-77.52834681129094 60.605273902188486,-77.07918916923119 60.47774172561073,-77.07918916923119 60.22116625148502,-77.52834681129094 60.09212027069717)))"
337,70,855169,True,"MULTIPOLYGON(((-77.52834681129094 60.85883387799965,-77.9775044533507 60.98486438834694,-77.9775044533507 61.23543326433037,-77.52834681129094 61.359974366647215,-77.07918916923119 61.23543326433037,-77.07918916923119 60.98486438834694,-77.52834681129094 60.85883387799965)))"
9,6,855171,True,"MULTIPOLYGON(((-77.52834681129094 62.33864526623141,-77.9775044533507 62.458792744560206,-77.9775044533507 62.69764551140301,-77.52834681129094 62.816353617243394,-77.07918916923119 62.69764551140301,-77.07918916923119 62.458792744560206,-77.52834681129094 62.33864526623141)))"
85382,461,855172,True,"MULTIPOLYGON(((-77.07918916923119 45.72003337687708,-77.52834681129094 45.90078910917727,-77.52834681129094 46.2605410411582,-77.07918916923119 46.43953751872483,-76.63003152717141 46.2605410411582,-76.63003152717141 45.90078910917727,-77.07918916923119 45.72003337687708)))"
39968,240,855173,True,"MULTIPOLYGON(((-77.07918916923119 46.795772360332826,-77.52834681129094 46.97301113617428,-77.52834681129094 47.32573259083572,-77.07918916923119 47.50121581120846,-76.63003152717141 47.32573259083572,-76.63003152717141 46.97301113617428,-77.07918916923119 46.795772360332826)))"
25739,268,855174,True,"MULTIPOLYGON(((-77.07918916923119 47.850428750131066,-77.52834681129094 48.024159135835944,-77.52834681129094 48.3698695606592,-77.07918916923119 48.54185038840175,-76.63003152717141 48.3698695606592,-76.63003152717141 48.024159135835944,-77.07918916923119 47.850428750131066)))"
13823,244,855175,True,"MULTIPOLYGON(((-77.07918916923119 48.884065394003045,-77.52834681129094 49.0543004778452,-77.52834681129094 49.3930282153543,-77.07918916923119 49.56152188828269,-76.63003152717141 49.3930282153543,-76.63003152717141 49.0543004778452,-77.07918916923119 48.884065394003045)))"
7055,209,855176,True,"MULTIPOLYGON(((-77.07918916923119 49.89677152835408,-77.52834681129094 50.06352862398913,-77.52834681129094 50.39531032037834,-77.07918916923119 50.56033615484632,-76.63003152717141 50.39531032037834,-76.63003152717141 50.06352862398913,-77.07918916923119 49.89677152835408)))"
1900,147,855177,True,"MULTIPOLYGON(((-77.07918916923119 50.88866100833348,-77.52834681129094 51.05196136232246,-77.52834681129094 51.37684138502317,-77.07918916923119 51.538422486042094,-76.63003152717141 51.37684138502317,-76.63003152717141 51.05196136232246,-77.07918916923119 50.88866100833348)))"
3612,200,855178,True,"MULTIPOLYGON(((-77.07918916923119 51.85987056614272,-77.52834681129094 52.01973907100145,-77.52834681129094 52.33776893795314,-77.07918916923119 52.49593191547987,-76.63003152717141 52.33776893795314,-76.63003152717141 52.01973907100145,-77.07918916923119 51.85987056614272)))"
1427,115,855179,True,"MULTIPOLYGON(((-77.07918916923119 52.81055810568268,-77.52834681129094 52.96702301969378,-77.52834681129094 53.27826084269948,-77.07918916923119 53.43303553523545,-76.63003152717141 53.27826084269948,-76.63003152717141 52.96702301969378,-77.07918916923119 52.81055810568268)))"
91,25,855180,True,"MULTIPOLYGON(((-77.07918916923119 53.74090104049521,-77.52834681129094 53.89399371533502,-77.52834681129094 54.19850365951542,-77.07918916923119 54.34992286598044,-76.63003152717141 54.19850365951542,-76.63003152717141 53.89399371533502,-77.07918916923119 53.74090104049521)))"
113,19,855181,True,"MULTIPOLYGON(((-77.07918916923119 54.65109468086872,-77.52834681129094 54.80084929792614,-77.52834681129094 55.098701058943526,-77.07918916923119 55.24680027961811,-76.63003152717141 55.098701058943526,-76.63003152717141 54.80084929792614,-77.07918916923119 54.65109468086872)))"
148,45,855182,True,"MULTIPOLYGON(((-77.07918916923119 55.54135067495744,-77.52834681129094 55.68780399105903,-77.52834681129094 55.9790722914612,-77.07918916923119 56.123889478634865,-76.63003152717141 55.9790722914612,-76.63003152717141 55.68780399105903,-77.07918916923119 55.54135067495744)))"
154,57,855183,True,"MULTIPOLYGON(((-77.07918916923119 57.26296906137591,-77.52834681129094 57.40293913666191,-77.52834681129094 57.681282394574936,-77.07918916923119 57.81965799444261,-76.63003152717141 57.681282394574936,-76.63003152717141 57.40293913666191,-77.07918916923119 57.26296906137591)))"
365,97,855184,True,"MULTIPOLYGON(((-77.07918916923119 58.09482323759508,-77.52834681129094 58.23161534424471,-77.52834681129094 58.503624741029995,-77.07918916923119 58.63884453781967,-76.63003152717141 58.503624741029995,-76.63003152717141 58.23161534424471,-77.07918916923119 58.09482323759508)))"
293,82,855185,True,"MULTIPOLYGON(((-77.07918916923119 58.90772064628476,-77.52834681129094 59.04137950514466,-77.52834681129094 59.307145248161845,-77.07918916923119 59.43925471735169,-76.63003152717141 59.307145248161845,-76.63003152717141 59.04137950514466,-77.07918916923119 58.90772064628476)))"
1354,194,855186,True,"MULTIPOLYGON(((-77.07918916923119 59.70193335847631,-77.52834681129094 59.83250515068524,-77.52834681129094 60.09212027069717,-77.07918916923119 60.22116625148502,-76.63003152717141 60.09212027069717,-76.63003152717141 59.83250515068524,-77.07918916923119 59.70193335847631)))"
280,80,855187,True,"MULTIPOLYGON(((-77.07918916923119 60.47774172561073,-77.52834681129094 60.605273902188486,-77.52834681129094 60.85883387799965,-77.07918916923119 60.98486438834694,-76.63003152717141 60.85883387799965,-76.63003152717141 60.605273902188486,-77.07918916923119 60.47774172561073)))"
150624,600,855190,True,"MULTIPOLYGON(((-76.63003152717141 45.17424592827279,-77.07918916923119 45.35676185632765,-77.07918916923119 45.72003337687708,-76.63003152717141 45.90078910917727,-76.18087388511167 45.72003337687708,-76.18087388511167 45.35676185632765,-76.63003152717141 45.17424592827279)))"
60808,243,855191,True,"MULTIPOLYGON(((-76.63003152717141 46.2605410411582,-77.07918916923119 46.43953751872483,-77.07918916923119 46.795772360332826,-76.63003152717141 46.97301113617428,-76.18087388511167 46.795772360332826,-76.18087388511167 46.43953751872483,-76.63003152717141 46.2605410411582)))"
24805,165,855192,True,"MULTIPOLYGON(((-76.63003152717141 47.32573259083572,-77.07918916923119 47.50121581120846,-77.07918916923119 47.850428750131066,-76.63003152717141 48.024159135835944,-76.18087388511167 47.850428750131066,-76.18087388511167 47.50121581120846,-76.63003152717141 47.32573259083572)))"
17294,178,855193,True,"MULTIPOLYGON(((-76.63003152717141 48.3698695606592,-77.07918916923119 48.54185038840175,-77.07918916923119 48.884065394003045,-76.63003152717141 49.0543004778452,-76.18087388511167 48.884065394003045,-76.18087388511167 48.54185038840175,-76.63003152717141 48.3698695606592)))"
6109,188,855194,True,"MULTIPOLYGON(((-76.63003152717141 49.3930282153543,-77.07918916923119 49.56152188828269,-77.07918916923119 49.89677152835408,-76.63003152717141 50.06352862398913,-76.18087388511167 49.89677152835408,-76.18087388511167 49.56152188828269,-76.63003152717141 49.3930282153543)))"
2761,142,855195,True,"MULTIPOLYGON(((-76.63003152717141 50.39531032037834,-77.07918916923119 50.56033615484632,-77.07918916923119 50.88866100833348,-76.63003152717141 51.05196136232246,-76.18087388511167 50.88866100833348,-76.18087388511167 50.56033615484632,-76.63003152717141 50.39531032037834)))"
1850,146,855196,True,"MULTIPOLYGON(((-76.63003152717141 51.37684138502317,-77.07918916923119 51.538422486042094,-77.07918916923119 51.85987056614272,-76.63003152717141 52.01973907100145,-76.18087388511167 51.85987056614272,-76.18087388511167 51.538422486042094,-76.63003152717141 51.37684138502317)))"
1108,116,855197,True,"MULTIPOLYGON(((-76.63003152717141 52.33776893795314,-77.07918916923119 52.49593191547987,-77.07918916923119 52.81055810568268,-76.63003152717141 52.96702301969378,-76.18087388511167 52.81055810568268,-76.18087388511167 52.49593191547987,-76.63003152717141 52.33776893795314)))"
1436,118,855198,True,"MULTIPOLYGON(((-76.63003152717141 53.27826084269948,-77.07918916923119 53.43303553523545,-77.07918916923119 53.74090104049521,-76.63003152717141 53.89399371533502,-76.18087388511167 53.74090104049521,-76.18087388511167 53.43303553523545,-76.63003152717141 53.27826084269948)))"
193,29,855199,True,"MULTIPOLYGON(((-76.63003152717141 54.19850365951542,-77.07918916923119 54.34992286598044,-77.07918916923119 54.65109468086872,-76.63003152717141 54.80084929792614,-76.18087388511167 54.65109468086872,-76.18087388511167 54.34992286598044,-76.63003152717141 54.19850365951542)))"
155,29,855200,True,"MULTIPOLYGON(((-76.63003152717141 55.098701058943526,-77.07918916923119 55.24680027961811,-77.07918916923119 55.54135067495744,-76.63003152717141 55.68780399105903,-76.18087388511167 55.54135067495744,-76.18087388511167 55.24680027961811,-76.63003152717141 55.098701058943526)))"
81,48,855201,True,"MULTIPOLYGON(((-76.63003152717141 55.9790722914612,-77.07918916923119 56.123889478634865,-77.07918916923119 56.41189550781593,-76.63003152717141 56.55508661092018,-76.18087388511167 56.41189550781593,-76.18087388511167 56.123889478634865,-76.63003152717141 55.9790722914612)))"
271,81,855203,True,"MULTIPOLYGON(((-76.63003152717141 57.681282394574936,-77.07918916923119 57.81965799444261,-77.07918916923119 58.09482323759508,-76.63003152717141 58.23161534424471,-76.18087388511167 58.09482323759508,-76.18087388511167 57.81965799444261,-76.63003152717141 57.681282394574936)))"
539,94,855204,True,"MULTIPOLYGON(((-76.63003152717141 58.503624741029995,-77.07918916923119 58.63884453781967,-77.07918916923119 58.90772064628476,-76.63003152717141 59.04137950514466,-76.18087388511167 58.90772064628476,-76.18087388511167 58.63884453781967,-76.63003152717141 58.503624741029995)))"
225,51,855205,True,"MULTIPOLYGON(((-76.63003152717141 59.307145248161845,-77.07918916923119 59.43925471735169,-77.07918916923119 59.70193335847631,-76.63003152717141 59.83250515068524,-76.18087388511167 59.70193335847631,-76.18087388511167 59.43925471735169,-76.63003152717141 59.307145248161845)))"
148,48,855206,True,"MULTIPOLYGON(((-76.63003152717141 60.09212027069717,-77.07918916923119 60.22116625148502,-77.07918916923119 60.47774172561073,-76.63003152717141 60.605273902188486,-76.18087388511167 60.47774172561073,-76.18087388511167 60.22116625148502,-76.63003152717141 60.09212027069717)))"
