NOM_SCI,FAM,SYN_FAM
Dolomedes triton  ,Pisauridae,Teippus - Cispiolus
Pisaurina mira,Pisauridae,Dapanus - Thanatidius - Pelopatis
Admestina tibialis ,Salticidae,
Admestina wheeleri,Salticidae,
Attidops youngii,Salticidae,
Calositticus floricola palustris ,Salticidae,Sitticus - Sitticulus - Hypositticus - Sittipub - Sittiflor - Sittilong
Calositticus striatus ,Salticidae,Sitticus - Sitticulus - Hypositticus - Sittipub - Sittiflor - Sittilong
Chinattus parvulus,Salticidae,
Dendryphantes nigromaculatus  ,Salticidae,
Eris militaris,Salticidae,
Euophrys monadnock ,Salticidae,
Evarcha hoyi,Salticidae,Evacin - Evalba - Evaneg - Evawes
Ghelna canadensis,Salticidae,
Habronattus borealis,Salticidae,
Habronattus calcaratus maddisoni,Salticidae,
Habronattus decorus,Salticidae,
Habronattus viridipes ,Salticidae,
Habronattus waughi  ,Salticidae,
Hasarius adansoni,Salticidae,Tachyskarthmos - Jacobia - Vitia - Vitioides
Hentzia mitrata,Salticidae,Wala - Anoka - Parahentzia - Maeviobeata
Maevia inclemens,Salticidae,
Marpissa formosa,Salticidae,Hyctia - Marptusa - Marfisa - Onondaga - Roeweriella
Naphrys pulex,Salticidae,
Neon nellii,Salticidae,
Peckhamia picata,Salticidae,Consingis
Pelegrina flaviceps ,Salticidae,
Pelegrina flavipes ,Salticidae,
Pelegrina insignis ,Salticidae,
Pelegrina montana ,Salticidae,
Pelegrina proterva  ,Salticidae,
Pellenes lapponicus,Salticidae,Pales - Hyllothyene - Pelpaucus - Pelmultus - Pelmirus - Pellap - Pellenattus
Phidippus audax ,Salticidae,
Phidippus borealis,Salticidae,
Phidippus clarus,Salticidae,
Phidippus princeps,Salticidae,
Phidippus purpuratus,Salticidae,
Phidippus whitmanii,Salticidae,
Platycryptus undatus,Salticidae,
Salticus scenicus,Salticidae,Attus
Sibianor aemulus,Salticidae,
Sitticus fasciger ,Salticidae,Attulus - Sitticulus - Calositticus - Hypositticus - Sittipub - Sittiflor - Sittilong
Sitticus finschii  ,Salticidae,
Sittisax ranieri,Salticidae,
Synageles canadensis ,Salticidae,Gertschia
Synageles noxiosus ,Salticidae,Gertschia
Synageles venator  ,Salticidae,Gertschia
Synemosyna formica,Salticidae,Simonella
Talavera minuta,Salticidae,
Tutelina hartii,Salticidae,
Tutelina similis,Salticidae,
Zygoballus nervosus,Salticidae,Amerotritte
Scytodes fusca,Scytodidae,
Leucauge venusta,Tetragnathidae,Argyroepeira - Callinethis - Mecynometa - Alcimosphenus - Opas - Plesiometa - Chrysaster - Opadometa
Meta ovalis,Tetragnathidae,Auchicybaeus - Praetermeta
Pachygnatha autumnalis,Tetragnathidae,
Pachygnatha brevis,Tetragnathidae,
Pachygnatha dorothea,Tetragnathidae,
Pachygnatha tristriata ,Tetragnathidae,
Pachygnatha xanthostoma ,Tetragnathidae,
Tetragnatha caudata,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha dearmata,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha elongata,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha extensa,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha guatemalensis,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha laboriosa,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha pallescens,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha shoshone,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha straminea,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha versicolor,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Tetragnatha viridis ,Tetragnathidae,Eugnatha - Deinagnatha - Eucta - Limoxera - Prionolaema - Arundognatha
Asagena americana,Theridiidae,
Canalidion montanum,Theridiidae,Theridion montanum
Coleosoma floridanum,Theridiidae,
Crustulina sticta,Theridiidae,
Cryptachaea rupicola,Theridiidae,
Dipoena appalachia,Theridiidae,Umfila - Stictoxena - Paoningia
Dipoena nigra,Theridiidae,Umfila - Stictoxena - Paoningia
Enoplognatha caricis,Theridiidae,Phyllonethis - Symopagia
Enoplognatha intrepida,Theridiidae,Phyllonethis - Symopagia
Enoplognatha latimana,Theridiidae,Phyllonethis - Symopagia
Enoplognatha marmorea,Theridiidae,Phyllonethis - Symopagia
Enoplognatha ovata,Theridiidae,Phyllonethis - Symopagia
Enoplognatha thoracica,Theridiidae,Phyllonethis - Symopagia
Euryopis argentea ,Theridiidae,Phycus - Atkinsonia - Phylarchus - Diaprocorus - Dipoenoides - Atkinia - Acanthomysmena - Mufila
Euryopis funebris ,Theridiidae,Phycus - Atkinsonia - Phylarchus - Diaprocorus - Dipoenoides - Atkinia - Acanthomysmena - Mufila
Euryopis gertschi ,Theridiidae,Phycus - Atkinsonia - Phylarchus - Diaprocorus - Dipoenoides - Atkinia - Acanthomysmena - Mufila
Hentziectypus conjonctus ,Theridiidae,
Hentziectypus globosus  ,Theridiidae,
Lasaeola prona,Theridiidae,Pachydactylus - Nactodipoena - Pselothorax - Parvidipoena - Simonola
Latrodectus variolus,Theridiidae,Chacoca
Neospintharus trigonum,Theridiidae,
Neottiura bimaculata,Theridiidae,
Ohlertidion ohlerti,Theridiidae,
Parasteatoda tabulata ,Theridiidae,
Parasteatoda tepidariorum  ,Theridiidae,
Pholcomma hirsutum,Theridiidae,Ancylorrhanis - Armigera
Phoroncidia americana,Theridiidae,Tricantha - Trithena - Oronota - Ulesanis - Oroodes - Sudabe - Wibrada
Phylloneta impressa,Theridiidae,
Platnickia alabamensis,Theridiidae,
Rhomphaea fictilium,Theridiidae,
Robertus banksi ,Theridiidae,Ctenium - Garritus
Robertus borealis ,Theridiidae,Ctenium - Garritus
Robertus crosbyi ,Theridiidae,Ctenium - Garritus
Robertus fuscus ,Theridiidae,Ctenium - Garritus
Robertus longipalpus ,Theridiidae,Ctenium - Garritus
Robertus pumilus ,Theridiidae,Ctenium - Garritus
Robertus riparius ,Theridiidae,Ctenium - Garritus
Robertus spinifer  ,Theridiidae,Ctenium - Garritus
Rugathodes aurantius ,Theridiidae,
Rugathodes sexpunctatus  ,Theridiidae,
Steatoda albomaculata ,Theridiidae,Lithyphantes - Teutana - Stethopoma - Anacocoelus - Steassa - Argyroelus - Asagenella
Steatoda bipunctata ,Theridiidae,Lithyphantes - Teutana - Stethopoma - Anacocoelus - Steassa - Argyroelus - Asagenella
Steatoda borealis ,Theridiidae,Lithyphantes - Teutana - Stethopoma - Anacocoelus - Steassa - Argyroelus - Asagenella
Steatoda castanea ,Theridiidae,Lithyphantes - Teutana - Stethopoma - Anacocoelus - Steassa - Argyroelus - Asagenella
Steatoda triangulosa  ,Theridiidae,Lithyphantes - Teutana - Stethopoma - Anacocoelus - Steassa - Argyroelus - Asagenella
Theonoe stridula,Theridiidae,Marianana
Theridion albidum,Theridiidae,Phaetoticus - Liger - Billima - Allotheridion
Theridion differens,Theridiidae,Phaetoticus - Liger - Billima - Allotheridion
Theridion frondeum,Theridiidae,Phaetoticus - Liger - Billima - Allotheridion
Theridion glaucescens,Theridiidae,Phaetoticus - Liger - Billima - Allotheridion
Theridion hemerobium,Theridiidae,Phaetoticus - Liger - Billima - Allotheridion
Theridion melanostictum,Theridiidae,Phaetoticus - Liger - Billima - Allotheridion
Theridion murarium,Theridiidae,Phaetoticus - Liger - Billima - Allotheridion
Theridion pictum  ,Theridiidae,Phaetoticus - Liger - Billima - Allotheridion
Theridula emertoni,Theridiidae,
Thymoites minnesota ,Theridiidae,Hypobares - Philto - Sphyrotinus - Hubba - Thonastica - Garricola - Paidisca - Brontosauriella - Spelobion - Tholocco - Thymoella
Thymoites unimaculatus  ,Theridiidae,Hypobares - Philto - Sphyrotinus - Hubba - Thonastica - Garricola - Paidisca - Brontosauriella - Spelobion - Tholocco - Thymoella
Wamba crispulus,Theridiidae,Allodipoena - Chindellum
Yunahamella lyricum,Theridiidae,
Theridiosoma gemmosum,Theridiosomatidae,Microepeira - Actis - Theridilella
Bassaniana utahensis,Thomisidae,Bassania
Coriarachne brunneipes,Thomisidae,
Mecaphesa asperata,Thomisidae,
Mecaphesa carletonica,Thomisidae,
Misumena vatia,Thomisidae,
Ozyptila americana,Thomisidae,
Ozyptila distans,Thomisidae,
Ozyptila gertschi,Thomisidae,
Ozyptila praticola ,Thomisidae,
Ozyptila sincera canadensis ,Thomisidae,
Tmarus angulatus,Thomisidae,Peritraeus - Martus
Xysticus ampullatus ,Thomisidae,
Xysticus britcheri ,Thomisidae,
Xysticus canadensis ,Thomisidae,
Xysticus chippewa ,Thomisidae,
Xysticus discursans ,Thomisidae,
Xysticus durus ,Thomisidae,
Xysticus elegans ,Thomisidae,
Xysticus ellipticus ,Thomisidae,
Xysticus emertoni ,Thomisidae,
Xysticus ferox ,Thomisidae,
Xysticus fervidus ,Thomisidae,
Xysticus fraternus ,Thomisidae,
Xysticus gulosus ,Thomisidae,
Xysticus labradorensis ,Thomisidae,
Xysticus luctans ,Thomisidae,
Xysticus luctuosus ,Thomisidae,
Xysticus montanensis ,Thomisidae,
Xysticus obscurus ,Thomisidae,
Xysticus pellax ,Thomisidae,
Xysticus punctatus,Thomisidae,
Xysticus triangulosus,Thomisidae,
Xysticus triguttatus,Thomisidae,
Xysticus winnipegensis,Thomisidae,
Titanoeca americana,Titanoecidae,
Trachelas tranquillus,Trachelidae,
Hyptiotes cavatus ,Uloboridae,Uptiotes - Androgeus
Hyptiotes gertschi ,Uloboridae,Uptiotes - Androgeus
Uloborus glomosus,Uloboridae,Phillyra - Veleda - Philoponus - Uloborella
Zodarion rubidum,Zodariidae,
