"scientific_name"
"Biota"
"Animalia"
"Chordata"
"Vertebrata"
"Gnathostomata"
"Osteichthyes"
"Sarcopterygii"
"Tetrapoda"
"Amphibia"
"Caudata"
"Ambystomatidae"
"Ambystoma"
"Ambystoma maculatum"
"Bilateria"
"Deuterostomia"
"Anura"
"Ranidae"
"Lithobates"
"Lithobates sylvaticus"
"Lithobates sylvatica"
"Plethodontidae"
"Plethodontinae"
"Plethodon"
"Plethodon cinereus"
"Lithobates catesbeianus"
"Lithobates catesbeiana"
"Bufonidae"
"Anaxyrus"
"Anaxyrus americanus"
"Hylidae"
"Acridinae"
"Pseudacris"
"Pseudacris crucifer"
"Lithobates pipiens"
"Salamandridae"
"Pleurodelinae"
"Notophthalmus"
"Notophthalmus viridescens"
"Amniota"
"Testudines"
"Cryptodira"
"Chelydroidea"
"Chelydridae"
"Chelydra"
"Chelydra serpentina"
"Reptilia"
"Aves"
"Anseriformes"
"Anatidae"
"Branta"
"Branta bernicla"
"Charadriiformes"
"Laridae"
"Sterna"
"Sterna hirundo"
"Suliformes"
"Sulidae"
"Morus"
"Morus bassanus"
"Anser"
"Anser caerulescens"
"Scolopacidae"
"Scolopax"
"Scolopax minor"
"Rissa"
"Rissa tridactyla"
"Ardenna gravis"
"Puffinus gravis"
"Procellariiformes"
"Procellariidae"
"Puffinus"
"Ardenna"
"Cygnus"
"Cygnus columbianus"
"Ardenna grisea"
"Puffinus griseus"
"Sterna paradisaea"
"Actinopterygii"
"Lophiiformes"
"Lophiidae"
"Lophius"
"Lophius americanus"
"Teleostei"
"Paracanthopterygii"
"Lophioidei"
"Mammalia"
"Theria"
"Eutheria"
"Cetacea"
"Mysticeti"
"Balaenopteridae"
"Megaptera"
"Megaptera novaeangliae"
"Alcidae"
"Uria"
"Uria aalge"
"Artiodactyla"
"Cervidae"
"Capreolinae"
"Alces"
"Alces americanus"
"Alces alces"
"Pseudacris triseriata"
"Falconiformes"
"Falconidae"
"Falconinae"
"Falco"
"Falco peregrinus"
"Falco peregrinus anatum"
"Histrionicus"
"Histrionicus histrionicus"
"Odontoceti"
"Monodontidae"
"Delphinapterus"
"Delphinapterus leucas"
"Phocoenidae"
"Phocoena"
"Phocoena phocoena"
"Balaenoptera"
"Balaenoptera physalus"
"Balaenoptera musculus"
"Desmognathus"
"Desmognathus fuscus"
"Desmognathus fusca"
"Carnivora"
"Caniformia"
"Phocidae"
"Phoca"
"Phoca vitulina"
"Lithobates palustris"
"Calidris"
"Calidris canutus"
"Calidris canutus rufa"
"Sterna dougallii"
"Testudinoidea"
"Emydidae"
"Emydinae"
"Emydoidea"
"Emydoidea blandingii"
"Emys blandingii"
"Emys"
"Rodentia"
"Myomorpha"
"Dipodoidea"
"Dipodidae"
"Zapodinae"
"Zapus"
"Zapus hudsonius"
"Muroidea"
"Cricetidae"
"Arvicolinae"
"Microtus"
"Mynomes"
"Microtus pennsylvanicus"
"Myodes"
"Myodes gapperi"
"Clethrionomys gapperi"
"Clethrionomys"
"Neotominae"
"Peromyscus"
"Peromyscus maniculatus"
"Hylinae"
"Dryophytes"
"Dryophytes versicolor"
"Anaxyrus fowleri"
"Chrysemys"
"Chrysemys picta"
"Deirochelyinae"
"Proteidae"
"Necturus"
"Necturus maculosus"
"Ambystoma jeffersonianum"
"Ambystoma jeffersoniana"
"Sciuromorpha"
"Sciuridae"
"Xerinae"
"Marmotini"
"Tamias"
"Tamias striatus"
"Pleuronectiformes"
"Pleuronectidae"
"Pseudopleuronectes"
"Pseudopleuronectes americanus"
"Acanthopterygii"
"Pleuronectoidei"
"Pleuronectinae"
"Pleuronectini"
"Pleuronectes americanus"
"Pleuronectes"
"Myzopsetta"
"Limanda"
"Myzopsetta ferruginea"
"Limanda ferruginea"
"Salmoniformes"
"Salmonidae"
"Salmo"
"Salmo salar"
"Protacanthopterygii"
"Salmoninae"
"Sterna hirundo hirundo"
"Clupeiformes"
"Clupeidae"
"Alosa"
"Alosa sapidissima"
"Clupeomorpha"
"Clupeoidei"
"Alosinae"
"Alosa pseudoharengus"
"Liopsetta putnami"
"Pleuronectes putnami"
"Liopsetta"
"Gadiformes"
"Gadidae"
"Microgadus"
"Microgadus tomcod"
"Gadinae"
"Graptemys"
"Graptemys geographica"
"Osmeriformes"
"Osmeridae"
"Mallotus"
"Mallotus villosus"
"Osmeroidei"
"Osmeroidea"
"Scorpaeniformes"
"Agonidae"
"Aspidophoroides"
"Aspidophoroides monopterygius"
"Cottoidei"
"Cottoidea"
"Pollachius"
"Pollachius virens"
"Scophthalmidae"
"Scophthalmus"
"Scophthalmus aquosus"
"Gasterosteiformes"
"Gasterosteidae"
"Gasterosteus"
"Gasterosteus aculeatus"
"Gasterosteoidei"
"Hippoglossus"
"Hippoglossus hippoglossus"
"Hippoglossinae"
"Desmognathus fuscus fuscus"
"Macrouridae"
"Nezumia"
"Nezumia bairdii"
"Macrourinae"
"Nezumia bairdi"
"Larus"
"Larus smithsonianus"
"Cottidae"
"Myoxocephalus"
"Myoxocephalus octodecemspinosus"
"Myoxocephalus octodecemspinosis"
"Perciformes"
"Pholidae"
"Pholis"
"Pholis gunnellus"
"Zoarcoidei"
"Esociformes"
"Esocidae"
"Esox"
"Esox masquinongy"
"Hippoglossoides"
"Hippoglossoides platessoides"
"Hippoglossoidinae"
"Myoxocephalus scorpius"
"Centrarchidae"
"Micropterus"
"Micropterus dolomieu"
"Percoidei"
"Phycidae"
"Urophycis"
"Urophycis tenuis"
"Phycinae"
"Chondrichthyes"
"Elasmobranchii"
"Rajiformes"
"Rajidae"
"Amblyraja"
"Amblyraja radiata"
"Euselachii"
"Ammodytidae"
"Ammodytes"
"Ammodytes dubius"
"Trachinoidei"
"Zoarcidae"
"Zoarces"
"Zoarces americanus"
"Macrozoarces americanus"
"Macrozoarces"
"Acipenseriformes"
"Acipenseridae"
"Acipenser"
"Acipenser fulvescens"
"Chondrostei"
"Acipenseroidei"
"Acipenserinae"
