Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
"Polytrichum hyperboreum R. Brown, 1823","R. Brown, 1823",Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Polytrichum,Polytrichum hyperboreum,
Bazzania trilobata (L.) Gray,Gray (L.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Bazzania,Bazzania trilobata,
Odontoschisma macounii (Austin) Underw.,Underw. (Austin),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Odontoschisma,Odontoschisma macounii,
Lophozia polaris (Schust.) Schust. & Damsh.,Schust. & Damsh. (Schust.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Scapaniaceae,Lophozia,Lophozia polaris,
Barbilophozia binsteadii (Kaal.) Loeske,Loeske (Kaal.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Barbilophozia,Barbilophozia binsteadii,
"Tetraplodon angustatus Bruch & W. P. Schimper in B.S.G., 1844","Bruch & W. P. Schimper in B.S.G., 1844",Plantae,Bryophyta,Bryopsida,Funariales,Splachnaceae,Tetraplodon,Tetraplodon angustatus,
"Myurella sibirica Reimers, 1937","Reimers, 1937",Plantae,Bryophyta,Bryopsida,Hypnales,Theliaceae,Myurella,Myurella sibirica,
Pallavicinia lyellii (Hook.) Carruth.,Carruth. (Hook.),Plantae,Marchantiophyta,Jungermanniopsida,Pallaviciniales,Pallaviciniaceae,Pallavicinia,Pallavicinia lyellii,
Drepanocladus fluitans (Hedw.) Warnst.,Warnst. (Hedw.),Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Drepanocladus,Drepanocladus fluitans,
Codriophorus fascicularis (Hedw.) Bednarek-Ochyra & Ochyra,Bednarek-Ochyra & Ochyra (Hedw.),Plantae,Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,Codriophorus fascicularis,
"Pseudobryum cinclidioides T. Koponen, 1968","T. Koponen, 1968",Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Pseudobryum,Pseudobryum cinclidioides,
Brachythecium rivulare B. S. G.,B. S. G.,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,Brachythecium rivulare,
Anomodon attenuatus,,Plantae,Bryophyta,Bryopsida,Hypnobryales,Anomodontaceae,Anomodon,Anomodon attenuatus,
"Sphagnum tundrae Flatberg, 1994","Flatberg, 1994",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum tundrae,
"Ulota curvifolia Liljeblad, 1816","Liljeblad, 1816",Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Ulota,Ulota curvifolia,
"Bryum archangelicum Bruch & W. P. Schimper in B.S.G., 1846","Bruch & W. P. Schimper in B.S.G., 1846",Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,Bryum archangelicum,
"Thamnobryum alleghaniense Nieuwland, 1917","Nieuwland, 1917",Plantae,Bryophyta,Bryopsida,Leucodontales,Neckeraceae,Thamnobryum,Thamnobryum alleghaniense,
Brachythecium curtum (Lindb.) Limpr.,Limpr. (Lindb.),Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,Brachythecium curtum,
"Anomodon rostratus W. P. Schimper, 1860","W. P. Schimper, 1860",Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Anomodon,Anomodon rostratus,
Plagiomnium ellipticum (Brid.) T.J.Kop.,T.J.Kop. (Brid.),Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,Plagiomnium ellipticum,
