"polygon_id","ts_count","taxa_count","geom"
855101,"0","0","MULTIPOLYGON(((-79.77413502158974 46.795772360332826,-80.22329266364952 46.97301113617428,-80.22329266364952 47.32573259083572,-79.77413502158974 47.50121581120846,-79.32497737953 47.32573259083572,-79.32497737953 46.97301113617428,-79.77413502158974 46.795772360332826)))"
855102,"0","0","MULTIPOLYGON(((-79.77413502158974 47.850428750131066,-80.22329266364952 48.024159135835944,-80.22329266364952 48.3698695606592,-79.77413502158974 48.54185038840175,-79.32497737953 48.3698695606592,-79.32497737953 48.024159135835944,-79.77413502158974 47.850428750131066)))"
855103,"0","0","MULTIPOLYGON(((-79.77413502158974 48.884065394003045,-80.22329266364952 49.0543004778452,-80.22329266364952 49.3930282153543,-79.77413502158974 49.56152188828269,-79.32497737953 49.3930282153543,-79.32497737953 49.0543004778452,-79.77413502158974 48.884065394003045)))"
855104,"0","0","MULTIPOLYGON(((-79.77413502158974 49.89677152835408,-80.22329266364952 50.06352862398913,-80.22329266364952 50.39531032037834,-79.77413502158974 50.56033615484632,-79.32497737953 50.39531032037834,-79.32497737953 50.06352862398913,-79.77413502158974 49.89677152835408)))"
855105,"0","0","MULTIPOLYGON(((-79.77413502158974 50.88866100833348,-80.22329266364952 51.05196136232246,-80.22329266364952 51.37684138502317,-79.77413502158974 51.538422486042094,-79.32497737953 51.37684138502317,-79.32497737953 51.05196136232246,-79.77413502158974 50.88866100833348)))"
855106,"0","0","MULTIPOLYGON(((-79.77413502158974 53.74090104049521,-80.22329266364952 53.89399371533502,-80.22329266364952 54.19850365951542,-79.77413502158974 54.34992286598044,-79.32497737953 54.19850365951542,-79.32497737953 53.89399371533502,-79.77413502158974 53.74090104049521)))"
855107,"0","0","MULTIPOLYGON(((-79.77413502158974 54.65109468086872,-80.22329266364952 54.80084929792614,-80.22329266364952 55.098701058943526,-79.77413502158974 55.24680027961811,-79.32497737953 55.098701058943526,-79.32497737953 54.80084929792614,-79.77413502158974 54.65109468086872)))"
855108,"9","3","MULTIPOLYGON(((-79.32497737953 46.2605410411582,-79.77413502158974 46.43953751872483,-79.77413502158974 46.795772360332826,-79.32497737953 46.97301113617428,-78.87581973747022 46.795772360332826,-78.87581973747022 46.43953751872483,-79.32497737953 46.2605410411582)))"
855109,"0","0","MULTIPOLYGON(((-79.32497737953 47.32573259083572,-79.77413502158974 47.50121581120846,-79.77413502158974 47.850428750131066,-79.32497737953 48.024159135835944,-78.87581973747022 47.850428750131066,-78.87581973747022 47.50121581120846,-79.32497737953 47.32573259083572)))"
855110,"0","0","MULTIPOLYGON(((-79.32497737953 48.3698695606592,-79.77413502158974 48.54185038840175,-79.77413502158974 48.884065394003045,-79.32497737953 49.0543004778452,-78.87581973747022 48.884065394003045,-78.87581973747022 48.54185038840175,-79.32497737953 48.3698695606592)))"
855111,"0","0","MULTIPOLYGON(((-79.32497737953 49.3930282153543,-79.77413502158974 49.56152188828269,-79.77413502158974 49.89677152835408,-79.32497737953 50.06352862398913,-78.87581973747022 49.89677152835408,-78.87581973747022 49.56152188828269,-79.32497737953 49.3930282153543)))"
855112,"0","0","MULTIPOLYGON(((-79.32497737953 50.39531032037834,-79.77413502158974 50.56033615484632,-79.77413502158974 50.88866100833348,-79.32497737953 51.05196136232246,-78.87581973747022 50.88866100833348,-78.87581973747022 50.56033615484632,-79.32497737953 50.39531032037834)))"
855113,"0","0","MULTIPOLYGON(((-79.32497737953 51.37684138502317,-79.77413502158974 51.538422486042094,-79.77413502158974 51.85987056614272,-79.32497737953 52.01973907100145,-78.87581973747022 51.85987056614272,-78.87581973747022 51.538422486042094,-79.32497737953 51.37684138502317)))"
855114,"0","0","MULTIPOLYGON(((-79.32497737953 52.33776893795314,-79.77413502158974 52.49593191547987,-79.77413502158974 52.81055810568268,-79.32497737953 52.96702301969378,-78.87581973747022 52.81055810568268,-78.87581973747022 52.49593191547987,-79.32497737953 52.33776893795314)))"
855115,"0","0","MULTIPOLYGON(((-79.32497737953 53.27826084269948,-79.77413502158974 53.43303553523545,-79.77413502158974 53.74090104049521,-79.32497737953 53.89399371533502,-78.87581973747022 53.74090104049521,-78.87581973747022 53.43303553523545,-79.32497737953 53.27826084269948)))"
855116,"0","0","MULTIPOLYGON(((-79.32497737953 54.19850365951542,-79.77413502158974 54.34992286598044,-79.77413502158974 54.65109468086872,-79.32497737953 54.80084929792614,-78.87581973747022 54.65109468086872,-78.87581973747022 54.34992286598044,-79.32497737953 54.19850365951542)))"
855117,"0","0","MULTIPOLYGON(((-78.87581973747022 45.72003337687708,-79.32497737953 45.90078910917727,-79.32497737953 46.2605410411582,-78.87581973747022 46.43953751872483,-78.42666209541048 46.2605410411582,-78.42666209541048 45.90078910917727,-78.87581973747022 45.72003337687708)))"
855118,"0","0","MULTIPOLYGON(((-78.87581973747022 46.795772360332826,-79.32497737953 46.97301113617428,-79.32497737953 47.32573259083572,-78.87581973747022 47.50121581120846,-78.42666209541048 47.32573259083572,-78.42666209541048 46.97301113617428,-78.87581973747022 46.795772360332826)))"
855119,"0","0","MULTIPOLYGON(((-78.87581973747022 47.850428750131066,-79.32497737953 48.024159135835944,-79.32497737953 48.3698695606592,-78.87581973747022 48.54185038840175,-78.42666209541048 48.3698695606592,-78.42666209541048 48.024159135835944,-78.87581973747022 47.850428750131066)))"
855120,"0","0","MULTIPOLYGON(((-78.87581973747022 48.884065394003045,-79.32497737953 49.0543004778452,-79.32497737953 49.3930282153543,-78.87581973747022 49.56152188828269,-78.42666209541048 49.3930282153543,-78.42666209541048 49.0543004778452,-78.87581973747022 48.884065394003045)))"
855121,"4","1","MULTIPOLYGON(((-78.87581973747022 49.89677152835408,-79.32497737953 50.06352862398913,-79.32497737953 50.39531032037834,-78.87581973747022 50.56033615484632,-78.42666209541048 50.39531032037834,-78.42666209541048 50.06352862398913,-78.87581973747022 49.89677152835408)))"
855122,"0","0","MULTIPOLYGON(((-78.87581973747022 50.88866100833348,-79.32497737953 51.05196136232246,-79.32497737953 51.37684138502317,-78.87581973747022 51.538422486042094,-78.42666209541048 51.37684138502317,-78.42666209541048 51.05196136232246,-78.87581973747022 50.88866100833348)))"
855123,"0","0","MULTIPOLYGON(((-78.87581973747022 51.85987056614272,-79.32497737953 52.01973907100145,-79.32497737953 52.33776893795314,-78.87581973747022 52.49593191547987,-78.42666209541048 52.33776893795314,-78.42666209541048 52.01973907100145,-78.87581973747022 51.85987056614272)))"
